Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
fresh,Fresh,15% Off on $50,2020-03-11,27,166,52
fresh,Fresh,Fresh 11-PC Gift Set ($84 Value),2020-01-26,,27,7
fresh,Fresh,Fresh 11-PC Gift Set ($84 Value),2020-01-22,25,84,27
fresh,Fresh,20% Off + Free shipping,2019-11-12,798,605,411
fresh,Fresh,20% Off + Free shipping,2019-11-11,46,91,108
fresh,Fresh,Fresh 7-piece gift set,2018-08-25,83,354,180
fresh,Fresh,$85,2014-05-26,,,1
fresh,Fresh,Free Deluxe Brown Sugar Body Cream Sample,2014-03-04,,1,1
fresh,Fresh,Valentine's Day Gift Guide,2014-02-15,,3,1
fresh,Fresh,Free mini Soy Face Cleanser,2014-01-29,,5,1
fresh,Fresh,Free Deluxe Honey Mask Sample,2014-01-22,,10,
fresh,Fresh,New Holiday Gift Sets,2013-12-18,,20,
fresh,Fresh,Free full size Hesperides Grapefruit Soap + free shipping,2013-12-02,,3,
fresh,Fresh,$58,2013-06-08,,3,
fresh,Fresh,$48,2013-05-20,,1,
fresh,Fresh,Free full size Hesperides Grapefruit Soap + free shipping,2013-05-01,,,
