Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
lancome,Lancome,25% Off,5/10/2020,44,16,7
lancome,Lancome,Free Gift,6/8/2020,144,128,83
lancome,Lancome,20% Off,6/2/2020,2,20,7
lancome,Lancome,20% Off,6/21/2020,17,14,10
lancome,Lancome,20% Off,6/20/2020,1,7,5
lancome,Lancome,Up to 40% Off,6/2/2020,283,291,206
lancome,Lancome,25% Off,5/31/2020,22,40,24
lancome,Lancome,25% Off,5/31/2020,1233,702,524
lancome,Lancome,25% Off,5/31/2020,177,157,80
lancome,Lancome,25% Off,5/30/2020,75,50,26
lancome,Lancome,Free Eye Cream,5/18/2020,58,38,38
lancome,Lancome,"Up to Buy 1, Get 1 Free",5/14/2020,1090,278,268
lancome,Lancome,20% Off,5/4/2020,61,23,21
lancome,Lancome,20% Off,5/4/2020,50,58,34
lancome,Lancome,20% Off,5/4/2020,29,45,26
lancome,Lancome,Up to 40% Off,5/2/2020,2333,1070,738
lancome,Lancome,20% Off,4/29/2020,14,16,12
lancome,Lancome,20% Off,4/29/2020,13,7,8
lancome,Lancome,20% Off,4/21/2020,5,5,3
lancome,Lancome,"Buy1, Get 1 50% Off + Free Gifts",4/21/2020,141,159,193
lancome,Lancome,Free Gifts($271.5 value),4/17/2020,113,131,119
lancome,Lancome,Free Gift Value of $293,4/13/2020,19,26,37
lancome,Lancome,$172($210 value) + GWP,4/10/2020,,3,9
lancome,Lancome,up to $245 value,4/10/2020,,,3
lancome,Lancome,Up to 40% Off,4/5/2020,202,299,181
lancome,Lancome,20% Off,4/1/2020,111,182,108
lancome,Lancome,$25 ,3/27/2020,3,2,7
lancome,Lancome,$65.60$82.00,3/25/2020,2,1,3
lancome,Lancome,$25.60$32.00,3/19/2020,,7,2
lancome,Lancome,20% Off,3/11/2020,17,35,19
lancome,Lancome,Up to 30% Off,3/11/2020,41,139,113
lancome,Lancome,20% Off,2/29/2020,81,256,153
lancome,Lancome,$45 ,2/21/2020,1,7,5
lancome,Lancome,Up to 30% Off,2/20/2020,74,198,202
lancome,Lancome,GWP,2/15/2020,10,9,5
lancome,Lancome,Up to 50% Off,2/15/2020,,5,4
lancome,Lancome,20% Off,2/3/2020,158,304,184
lancome,Lancome,20% + 2-Day Shipping,2/1/2020,,4,8
lancome,Lancome,$216 Valued Gifts,1/27/2020,,2,6
lancome,Lancome,15% Off + $216 Valued Gifts,1/26/2020,314,378,274
lancome,Lancome,20% Off + GWP,1/26/2020,35,69,44
lancome,Lancome,$27.20$32.00,1/26/2020,39,36,15
lancome,Lancome,15% Off + Free 7 Gifts,1/23/2020,2,13,6
lancome,Lancome,20% Off,1/14/2020,56,95,65
lancome,Lancome,20%,1/12/2020,16,35,16
lancome,Lancome,Up to 6-Pieces Free Gifts,12/31/2019,77,123,122
lancome,Lancome,Up to 40% Off,12/26/2019,11,16,17
lancome,Lancome,20% Off + GWP,12/21/2019,228,296,156
lancome,Lancome,$32 ,12/13/2019,9,26,17
lancome,Lancome,Get it for $175 ($230 Value) + GWP,12/13/2019,7,40,22
lancome,Lancome,Value Set + 6-Pc Gifts,12/10/2019,9,7,17
lancome,Lancome,20% Off + GWP,12/4/2019,547,1516,1213
lancome,Lancome,20% Off + GWP,12/4/2019,22,102,140
lancome,Lancome,20% Off + Free Gifts,12/4/2019,67,285,210
lancome,Lancome,20% Off + GWP,12/4/2019,116,279,256
lancome,Lancome,Free gifts + Only $68 with Any $39.5 Purchase,11/28/2019,65,215,414
lancome,Lancome,Get it for $175 ($230 Value),11/13/2019,19,58,26
lancome,Lancome,20% Off + Up to 6 Deluxe Samples,11/13/2019,212,485,461
lancome,Lancome,$32 ,11/13/2019,17,19,9
lancome,Lancome,20% Off,11/12/2019,22,46,99
lancome,Lancome,20% Off,11/12/2019,12,45,105
lancome,Lancome,16% Off + Only $68 with Any $39.5 Purchase,10/31/2019,21,59,50
lancome,Lancome,15% Off,10/28/2019,19,60,27
lancome,Lancome,15% Off + Only $68 with Any $39.5 Purchase,10/28/2019,218,610,478
lancome,Lancome,15% Off + Holiday Collection(value $$460),10/27/2019,7,53,30
lancome,Lancome,Up to 30% Off,10/22/2019,7,39,14
lancome,Lancome,15% Off,10/17/2019,4,5,10
lancome,Lancome,Up to 10-pc Gifts,10/10/2019,83,192,122
lancome,Lancome,15% Off,10/10/2019,2,10,10
lancome,Lancome,Up to 6-pc Gifts,10/2/2019,9,5,6
lancome,Lancome,Up to 75% Off,9/26/2019,299,228,286
lancome,Lancome,30% off,9/21/2019,8,17,25
lancome,Lancome,15% Off + Up to 12 Free Gifts,9/14/2019,236,305,209
lancome,Lancome,15% Off + Up to 13 Free Gifts,9/14/2019,1,19,10
lancome,Lancome,15% Off + Up to 13 Free Gifts,9/14/2019,7,17,17
lancome,Lancome,15% Off + Up to 13 Free Gifts,9/11/2019,,3,3
lancome,Lancome,Up to 11-pc Gifts,9/11/2019,19,45,28
lancome,Lancome,Up to 11-pc Gifts,9/10/2019,,3,4
lancome,Lancome,$110 (A $318 Value),9/6/2019,5,6,6
lancome,Lancome,20% off + GWP,9/5/2019,58,121,52
lancome,Lancome,20% off + GWP,9/5/2019,27,143,68
lancome,Lancome,Sitewide 20% Off,9/5/2019,1092,1453,996
lancome,Lancome,Free Gifts,9/4/2019,3,6,4
lancome,Lancome,$25.60 ,9/4/2019,9,18,18
lancome,Lancome,20% Off,9/2/2019,9,25,14
lancome,Lancome,Free 5-Pc Gifts,8/23/2019,33,89,38
lancome,Lancome,Up to 30% Off,8/17/2019,17,61,26
lancome,Lancome,Buy One Get One,8/6/2019,27,39,48
lancome,Lancome,Free 6Pc Gifts,8/6/2019,15,22,20
lancome,Lancome,Free 3 Lipsticks,7/31/2019,40,116,62
lancome,Lancome,20% Off Selected Items,7/30/2019,12,17,5
lancome,Lancome,One Day Only,7/21/2019,,1,
lancome,Lancome,Up to 30% Off,7/15/2019,30,115,53
lancome,Lancome,30% Off Select Products,7/15/2019,4,14,4
lancome,Lancome,Free 7Pc Gifts,7/9/2019,17,20,19
lancome,Lancome,20% off,6/30/2019,14,54,32
lancome,Lancome,20% off + GWP,6/30/2019,14,74,37
lancome,Lancome,20% off,6/30/2019,154,417,242
lancome,Lancome,20% off + GWP,6/30/2019,5,16,14
lancome,Lancome,15% Off+Free gifs,6/24/2019,111,245,128
lancome,Lancome,Free gifts,6/24/2019,2,1,3
lancome,Lancome,Free Gift,6/21/2019,2,4,3
lancome,Lancome,Up to 30% Off,6/20/2019,98,287,150
lancome,Lancome,$50 ,6/17/2019,1,3,3
lancome,Lancome,15% Off+Free Gifts,6/6/2019,,3,2
lancome,Lancome,20% off + GWP,5/31/2019,11,72,39
lancome,Lancome,20% off + GWP,5/31/2019,21,112,57
lancome,Lancome,20% off + GWP,5/31/2019,2,28,15
lancome,Lancome,20% off + GWP,5/30/2019,2,37,20
lancome,Lancome,20% Off,5/20/2019,1,6,6
lancome,Lancome,5-pc sample,5/20/2019,29,73,52
lancome,Lancome,Free 6Pc Gift,5/17/2019,6,11,10
lancome,Lancome,Enjoy 20% Off Sets and 30% Off,5/15/2019,24,46,19
lancome,Lancome,Free,5/6/2019,89,61,98
lancome,Lancome,6-pc sample,5/5/2019,3,1,6
lancome,Lancome,20% off,4/26/2019,103,317,185
lancome,Lancome,20% off,4/26/2019,10,20,13
lancome,Lancome,25% Off,4/24/2019,,5,5
lancome,Lancome,20% off,4/20/2019,13,34,17
lancome,Lancome,20% off,4/20/2019,690,998,771
lancome,Lancome,20% off,4/20/2019,44,32,21
lancome,Lancome,20% off,4/18/2019,45,76,44
lancome,Lancome,Up to $268 valued gifts,4/18/2019,38,101,51
lancome,Lancome,Up to $268 valued gifts,4/18/2019,11,18,7
lancome,Lancome,GWP,4/18/2019,55,89,45
lancome,Lancome,20% off,4/18/2019,8,32,14
lancome,Lancome,20% off,4/17/2019,3,15,11
lancome,Lancome,20% off,4/17/2019,18,25,23
lancome,Lancome,Up to $268 valued gifts,4/13/2019,1,5,3
lancome,Lancome,5-pc Gift,4/3/2019,7,24,11
lancome,Lancome,Enjoy 20% off,3/29/2019,21,45,22
lancome,Lancome,20% Off + 10-pc gift,3/27/2019,1804,1251,1118
lancome,Lancome,20% Off + 11-pc gift,3/27/2019,3,24,9
lancome,Lancome,20% Off + 11-pc gift,3/27/2019,3,23,17
lancome,Lancome,20% Off + 11-pc gift,3/27/2019,2,23,14
lancome,Lancome,20% Off + 11-pc gift,3/26/2019,23,28,12
lancome,Lancome,20% Off + 11-pc gift,3/26/2019,15,54,42
lancome,Lancome,20% Off + 11-pc gift,3/26/2019,22,59,51
lancome,Lancome,20% Off + 8-pc gift,3/26/2019,1,7,4
lancome,Lancome,20% Off + 10-pc gift,3/24/2019,,12,4
lancome,Lancome,20% Off + 10-pc gift,3/22/2019,5,9,3
lancome,Lancome,Up to 30% Off + GWP,3/21/2019,7,18,6
lancome,Lancome,$42 (Original $60),3/20/2019,1,5,3
lancome,Lancome,Enjoy a 4 Piece Sample,3/16/2019,99,131,86
lancome,Lancome,$35 ,3/13/2019,49,62,32
lancome,Lancome,$110 ,3/13/2019,,8,3
lancome,Lancome,Dealmoon Exclusive! Enjoy 15% off with $75 purchase,3/9/2019,93,66,29
lancome,Lancome,Free Gift,3/5/2019,10,10,6
lancome,Lancome,GWP,2/24/2019,4,6,2
lancome,Lancome,"Spend $35 and Receive 2 Samples, Spend $50 and Receive 4 Samples",2/23/2019,43,78,34
lancome,Lancome,Happy lash day! Choose a mini mascara,2/19/2019,1,9,4
lancome,Lancome,New Arrival! $32,2/19/2019,6,18,6
lancome,Lancome,Enjoy 20% Off,2/13/2019,33,78,49
lancome,Lancome,Up to $20,2/12/2019,2,5,2
lancome,Lancome,Free,2/11/2019,45,67,77
lancome,Lancome,New Arrivals,2/11/2019,5,,4
lancome,Lancome,20% off,2/6/2019,7,27,14
lancome,Lancome,32% Off,2/6/2019,40,42,24
