Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
tatcha,Tatcha,Free Gift,2020-05-21,,3,2
tatcha,Tatcha,Free mini duo,2020-05-14,,8,5
tatcha,Tatcha,Free Travel-Size THE DEWY SKIN CREAM,2020-05-13,122,118,102
tatcha,Tatcha,Free 2-pc Gifts,2020-04-16,6,4,4
tatcha,Tatcha,Free mini Pearl,2020-04-02,3,5,3
tatcha,Tatcha,$80 ($102 value),2020-04-02,3,15,10
tatcha,Tatcha,As low as $90,2020-03-31,4,7,2
tatcha,Tatcha,Free Full Size Ageless Neck Cream,2020-03-09,6,45,22
tatcha,Tatcha,$130($201 value),2020-02-24,3,3,6
tatcha,Tatcha,$64($92 value),2020-02-23,4,25,7
tatcha,Tatcha,$110($165 value),2020-02-21,1,1,7
tatcha,Tatcha,Free Lip Balm,2020-02-14,,3,1
tatcha,Tatcha,GWP,2020-02-06,3,2,3
tatcha,Tatcha,As low as $120,2020-01-29,,14,9
tatcha,Tatcha,GWP,2020-01-22,2,10,3
tatcha,Tatcha,Free Gift With $100 Purchase,2020-01-06,9,24,9
tatcha,Tatcha,$28,2019-12-20,7,14,10
tatcha,Tatcha,Free Gift With $150 Purchase,2019-12-11,504,138,158
tatcha,Tatcha,20% Off,2019-12-05,30,126,55
tatcha,Tatcha,20% Off,2019-12-05,,15,7
tatcha,Tatcha,Up to 20% Off,2019-12-02,60,109,63
tatcha,Tatcha,Up to 20% Off,2019-12-02,1,21,22
tatcha,Tatcha,As low as $52,2019-11-15,10,25,108
tatcha,Tatcha,Free Full Size Ageless Renewal Cream($185 Value),2019-11-13,40,137,166
tatcha,Tatcha,20% Off,2019-10-21,12,25,14
tatcha,Tatcha,20% Off,2019-10-21,11,79,36
tatcha,Tatcha,20% Off,2019-10-21,1,24,14
tatcha,Tatcha,20% Off + Sample,2019-10-21,4,5,8
tatcha,Tatcha,20% Off,2019-10-20,222,536,375
tatcha,Tatcha,$65($105 value),2019-10-05,3,9,8
tatcha,Tatcha,Gift With Purchase,2019-10-02,5,17,6
tatcha,Tatcha,Value set,2019-08-30,,11,5
tatcha,Tatcha,Value set,2019-08-29,5,6,2
tatcha,Tatcha,$85.00$113.00,2019-08-26,,2,4
tatcha,Tatcha,Gift With Purchase,2019-08-20,,2,4
tatcha,Tatcha,Free Cosmetic Bag,2019-08-19,1,7,5
tatcha,Tatcha,$60,2019-08-18,13,30,15
tatcha,Tatcha,Up to 3 Mini Lipstick Gifts,2019-07-29,24,41,27
tatcha,Tatcha,$125,2019-07-17,9,28,16
tatcha,Tatcha,As low as $52,2019-07-11,12,47,24
tatcha,Tatcha,Up to 20% Off,2019-12-02,60,109,63
tatcha,Tatcha,Up to 20% Off,2019-12-02,1,21,22
tatcha,Tatcha,As low as $52,2019-11-15,10,25,108
tatcha,Tatcha,Free Full Size Ageless Renewal Cream($185 Value),2019-11-13,40,137,166
tatcha,Tatcha,20% Off,2019-10-21,12,25,14
tatcha,Tatcha,20% Off,2019-10-21,11,79,36
tatcha,Tatcha,20% Off,2019-10-21,1,24,14
tatcha,Tatcha,20% Off + Sample,2019-10-21,4,5,8
tatcha,Tatcha,20% Off,2019-10-20,222,536,375
tatcha,Tatcha,$65($105 value),2019-10-05,3,9,8
tatcha,Tatcha,Gift With Purchase,2019-10-02,5,17,6
tatcha,Tatcha,Value set,2019-08-30,,11,5
tatcha,Tatcha,Value set,2019-08-29,5,6,2
tatcha,Tatcha,$85.00$113.00,2019-08-26,,2,4
tatcha,Tatcha,Gift With Purchase,2019-08-20,,2,4
tatcha,Tatcha,Free Cosmetic Bag,2019-08-19,1,7,5
tatcha,Tatcha,$60,2019-08-18,13,30,15
tatcha,Tatcha,Up to 3 Mini Lipstick Gifts,2019-07-29,24,41,27
tatcha,Tatcha,$125,2019-07-17,9,28,16
tatcha,Tatcha,As low as $52,2019-07-11,12,47,24
tatcha,Tatcha,Up to 20% Off,2019-12-02,60,109,63
tatcha,Tatcha,Up to 20% Off,2019-12-02,1,21,22
tatcha,Tatcha,As low as $52,2019-11-15,10,25,108
tatcha,Tatcha,Free Full Size Ageless Renewal Cream($185 Value),2019-11-13,40,137,166
tatcha,Tatcha,20% Off,2019-10-21,12,25,14
tatcha,Tatcha,20% Off,2019-10-21,11,79,36
tatcha,Tatcha,20% Off,2019-10-21,1,24,14
tatcha,Tatcha,20% Off + Sample,2019-10-21,4,5,8
tatcha,Tatcha,20% Off,2019-10-20,222,536,375
tatcha,Tatcha,$65($105 value),2019-10-05,3,9,8
tatcha,Tatcha,Gift With Purchase,2019-10-02,5,17,6
tatcha,Tatcha,Value set,2019-08-30,,11,5
tatcha,Tatcha,Value set,2019-08-29,5,6,2
tatcha,Tatcha,$85.00$113.00,2019-08-26,,2,4
tatcha,Tatcha,Gift With Purchase,2019-08-20,,2,4
tatcha,Tatcha,Free Cosmetic Bag,2019-08-19,1,7,5
tatcha,Tatcha,$60,2019-08-18,13,30,15
tatcha,Tatcha,Up to 3 Mini Lipstick Gifts,2019-07-29,24,41,27
tatcha,Tatcha,$125,2019-07-17,9,28,16
tatcha,Tatcha,As low as $52,2019-07-11,12,47,24
