Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 25% Off+Free Gifts,6/18/2020,12,33,14
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 30% Off,6/18/2020,1,6,5
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 30% Off,6/18/2020,3,37,10
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 30% Off,6/18/2020,8,28,21
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 30% Off,6/18/2020,6,18,10
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,GWP,6/15/2020,7,28,36
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,As Low as $27,6/14/2020,44,62,40
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,GWP,6/11/2020,250,354,150
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Prizes and Discount,6/1/2020,8,5,6
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Buy 2 Get 1,6/1/2020,3,6,3
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,30% Off,5/31/2020,8,29,12
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Buy 1 Get 1 Free,5/26/2020,142,59,50
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,20% Off + GWP,5/13/2020,,1,7
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,20% Off or GWP,5/9/2020,1,2,7
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 60% Off + Free Full-Size,4/18/2020,118,261,187
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off + Free Full-Size,4/12/2020,558,544,394
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off + Free Full-Size,4/11/2020,9,23,28
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off + Free Full-Size,4/11/2020,30,63,29
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off + Free Full-Size,4/11/2020,20,49,40
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off,3/30/2020,13,17,13
