Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
clarins,Clarins,Up to 25% Off,6/18/2020,1,45,13
clarins,Clarins,Free Gifts,6/18/2020,59,69,50
clarins,Clarins,Up to 30% Off + Free Gifts,5/26/2020,307,308,279
clarins,Clarins,Up to $118 Gifts,5/21/2020,77,50,20
clarins,Clarins,Up to 6-Pc Gifts,5/10/2020,131,110,48
clarins,Clarins,Free Gifts,4/22/2020,40,41,25
clarins,Clarins,$35 Each+Free 6-Pc Gift,4/20/2020,,7,6
clarins,Clarins,Up to 10-Pc Gifts,4/6/2020,94,63,86
clarins,Clarins,Up to 6-Pc Gifts,3/21/2020,59,45,49
clarins,Clarins,Up to 6-Pc Gifts,3/9/2020,12,31,18
clarins,Clarins,Up to 11-Pc Gift,3/7/2020,,4,6
clarins,Clarins,Up to 11-Pc Gift,3/6/2020,,6,2
clarins,Clarins,Up to 25% off,2/25/2020,6,42,39
clarins,Clarins,Up to 25% Off + 3-Pc Gifts,2/25/2020,825,1154,884
clarins,Clarins,Up to 25% Off,2/25/2020,21,61,37
clarins,Clarins,Up to 25% Off,2/25/2020,5,8,7
clarins,Clarins,Up to 25% Off,2/24/2020,,57,39
clarins,Clarins,Up to 25% off,2/24/2020,33,51,49
clarins,Clarins,Up to 25% off,2/24/2020,26,84,29
clarins,Clarins,Up to 25% Off,2/24/2020,5,29,16
clarins,Clarins,Up to 25% off,2/20/2020,12,18,10
clarins,Clarins,Up to 25% Off+3-Pc Gifts,2/20/2020,1,17,3
clarins,Clarins,Up to 9-piece Free Gift,2/7/2020,25,35,23
clarins,Clarins,Choose 5-piece Gift + New Year Gifts,1/26/2020,30,93,44
clarins,Clarins,$126 + 24H Early Access,1/23/2020,34,86,54
clarins,Clarins,$79 Value Free Gifts,12/27/2019,1,6,9
clarins,Clarins,$88 Value Free Gifts + Free Shipping,12/22/2019,1,15,10
clarins,Clarins,$105 Value Free Gifts + Free Shipping,12/14/2019,1,8,13
clarins,Clarins,$146 Value Free 12-PC Gift + Free Shipping,12/13/2019,17,28,28
clarins,Clarins,$105 Value Free 9-PC Gift,12/4/2019,,15,16
clarins,Clarins,Up to 25% Off,12/3/2019,640,1259,893
clarins,Clarins,Up to 25% off,12/3/2019,13,39,120
clarins,Clarins,Up to 25% off,12/2/2019,,3,3
clarins,Clarins,Up to 25% Off,12/2/2019,8,144,190
clarins,Clarins,Up to 25% off,12/2/2019,18,110,156
clarins,Clarins,Up to 25% Off,12/2/2019,,2,7
clarins,Clarins,Up to 25% Off,12/2/2019,2,32,29
clarins,Clarins,$9+Free 10 Samples,11/22/2019,33,68,123
clarins,Clarins,Free 10 Samples,11/20/2019,17,42,90
clarins,Clarins,$240 Value Free Gift,11/12/2019,2,9,76
clarins,Clarins,Up to 25% off,11/12/2019,7,18,87
clarins,Clarins,Up to $240 Value Free 14-PC Gift,11/12/2019,36,67,115
clarins,Clarins,As low as $60,11/2/2019,8,22,104
clarins,Clarins,Free 6-Piece Gift,11/1/2019,11,19,92
clarins,Clarins,Free 6-Piece Halloween Gift,10/30/2019,11,43,14
clarins,Clarins,Up to 25% off,10/18/2019,19,61,27
clarins,Clarins,Up to 25% Off,10/18/2019,3,33,13
clarins,Clarins,Up to 25% Off,10/18/2019,21,57,38
clarins,Clarins,Up to 25% Off,10/18/2019,9,17,7
clarins,Clarins,Up to 25% Off,10/18/2019,469,1034,715
clarins,Clarins,Up to 25% off,10/18/2019,23,151,76
clarins,Clarins,Up to 25% Off,10/18/2019,17,28,17
clarins,Clarins,Up to 25% off,10/18/2019,28,33,19
clarins,Clarins,Up to 25% off,10/18/2019,19,60,26
clarins,Clarins,Up to 25% Off,10/18/2019,6,31,21
clarins,Clarins,Up to 25% Off,10/18/2019,18,79,58
clarins,Clarins,Free Gifts,9/20/2019,,18,8
clarins,Clarins,Free Shipping,9/18/2019,5,7,10
clarins,Clarins,Free Gifts,9/5/2019,,5,14
clarins,Clarins,Up to 30% Off + Free GIfts,9/3/2019,19,116,67
clarins,Clarins,Free Gifts,8/27/2019,1,16,14
clarins,Clarins,Free 10-Pc Gift,8/13/2019,7,12,8
clarins,Clarins,Free 5-piece Valentine’s Beauty Routine,8/7/2019,33,37,30
clarins,Clarins,Get Free Lipstick + 6 Pieces Gift,7/29/2019,2,5,6
clarins,Clarins,Free 9pc Gift ($137 Value),7/25/2019,12,15,17
clarins,Clarins,Up to 8-pc free gift ($199 Value),7/4/2019,30,60,34
clarins,Clarins,Receive A Travel-Size Enhancing Eye Lift Serum (7mL+$30 Value),6/21/2019,17,48,12
clarins,Clarins,15% Off,6/21/2019,12,28,16
clarins,Clarins,15% off,6/21/2019,32,28,12
clarins,Clarins,15% Off sitewide,6/21/2019,203,337,231
clarins,Clarins,15% off,6/21/2019,1,7,3
clarins,Clarins,15% off,6/20/2019,5,19,6
clarins,Clarins,Free 7Pc Gift,6/10/2019,5,14,10
clarins,Clarins,Memorial Day Sale!,5/28/2019,55,201,116
clarins,Clarins,Up to 6-pc free gift,5/14/2019,3,17,12
clarins,Clarins,Dealmoon Exclusive!,5/14/2019,21,74,48
clarins,Clarins,Custom 5-pc Mother's Day Gift,4/23/2019,1,1,
clarins,Clarins,6-pc free gift ($88 Value),4/15/2019,37,21,12
clarins,Clarins,$44+GWP,4/13/2019,22,12,19
clarins,Clarins,10-pc free gift,4/8/2019,97,29,14
clarins,Clarins,8-piece gift,4/2/2019,25,37,17
clarins,Clarins,7-piece gift,3/17/2019,8,8,9
clarins,Clarins,6-piece gift,3/13/2019,2,10,6
clarins,Clarins,Dealmoon Exclusive:,3/9/2019,6,19,15
clarins,Clarins,Dealmoon Exclusive:,3/7/2019,,8,4
clarins,Clarins,Powerful Radiance Gift,2/27/2019,11,26,10
clarins,Clarins,Up to 25% Off,2/25/2019,436,1648,1018
clarins,Clarins,Up to 25% Off,2/25/2019,22,145,93
clarins,Clarins,Up to 25% off,2/25/2019,47,259,110
clarins,Clarins,Up to 25% Off,2/25/2019,3,42,13
clarins,Clarins,Up to 25% Off,2/25/2019,12,121,41
clarins,Clarins,Up to 25% off,2/24/2019,29,128,28
clarins,Clarins,Up to 25% Off,2/24/2019,11,45,12
clarins,Clarins,Up to 25% off,2/23/2019,20,115,20
clarins,Clarins,Up to 25% Off,2/22/2019,4,28,10
clarins,Clarins,Chinese New Year Dealmoon Exclusive!,2/5/2019,14,36,5
clarins,Clarins,Chinese New Year Dealmoon Exclusive!,1/29/2019,65,139,61
clarins,Clarins,Dealmoon Chinese New Year Exclusive!,1/22/2019,4,17,5
clarins,Clarins,FREE 5-Piece Gift,1/10/2019,1,23,8
clarins,Clarins,FREE 6-Piece Gift,1/7/2019,3,20,9
clarins,Clarins,Free 7-Piece Gift,12/20/2018,6,15,4
clarins,Clarins,FREE 7-Piece Gift,12/16/2018,12,18,4
clarins,Clarins,Dealmoon Double 12 Exclusive!,12/13/2018,60,192,80
clarins,Clarins,6-pc gift ($63 value) with any $100 order,12/7/2018,2,26,10
clarins,Clarins,Up to 25% Off,11/27/2018,24,83,51
clarins,Clarins,Cyber Monday!,11/27/2018,185,866,351
clarins,Clarins,Up to 25% Off,11/27/2018,1,75,26
clarins,Clarins,Up to 25% Off,11/27/2018,24,167,90
clarins,Clarins,$22.10 ,11/27/2018,,6,4
clarins,Clarins,Up to 25% Off,11/26/2018,8,48,4
clarins,Clarins,Up to 25% Off,11/26/2018,4,70,19
clarins,Clarins,Up to 25% Off,11/26/2018,5,63,14
clarins,Clarins,Up to 25% Off,11/23/2018,9,40,25
clarins,Clarins,Free Gift ($87 value),11/21/2018,12,41,14
clarins,Clarins,Free 11-piece Gift,11/12/2018,1,52,13
clarins,Clarins,Dealmoon Exclusive Free 11-piece Gift,11/12/2018,8,71,36
clarins,Clarins,Dealmoon Exclusive Free 11-piece Gift,11/12/2018,36,172,79
clarins,Clarins,Free 11-piece Gift,11/11/2018,6,34,18
clarins,Clarins,Free 11-piece Gift,11/11/2018,7,27,8
clarins,Clarins,New Arrival! $100 ($249 value),10/28/2018,19,139,47
clarins,Clarins,Up to 25% Off,10/15/2018,54,358,134
clarins,Clarins,Up to 25% Off,10/15/2018,28,289,72
clarins,Clarins,Get up to 25% off,10/15/2018,414,1945,848
clarins,Clarins,$24.75 ,10/14/2018,20,226,35
clarins,Clarins,Up to 25% Off,10/14/2018,7,203,68
clarins,Clarins,Up to 25% Off,10/14/2018,9,156,31
clarins,Clarins,Up to 25% Off,10/14/2018,13,120,17
clarins,Clarins,Up to 25% Off,10/14/2018,33,238,92
clarins,Clarins,Up to 25% Off,10/13/2018,14,200,32
clarins,Clarins,$19.50 ,10/10/2018,10,107,22
clarins,Clarins,$22.10 ,10/10/2018,9,60,7
clarins,Clarins,$32.25 ,10/8/2018,14,112,13
clarins,Clarins,Up to 25% off,10/7/2018,3,19,7
clarins,Clarins,Free Gift ($165 value),9/25/2018,7,43,14
clarins,Clarins,4-pc gift ($66 value),9/14/2018,1,6,
clarins,Clarins,6-pc gift ($83 value),9/5/2018,1,15,7
clarins,Clarins,Up to 30% Off,9/3/2018,49,307,89
clarins,Clarins,6-pc gift ($58 value),8/22/2018,3,38,10
clarins,Clarins,Dealmoon Exclusive! FREE 4-Piece Skincare Routine Gift,8/6/2018,3,58,25
clarins,Clarins,Free Gift,7/30/2018,,27,9
clarins,Clarins,Free Gift,7/29/2018,7,67,21
clarins,Clarins,Free Mini Lipstick,7/29/2018,6,14,2
clarins,Clarins,Free 4-Piece Gift,7/20/2018,2,13,2
clarins,Clarins,Summer Beauty Cool,7/17/2018,1,28,7
clarins,Clarins,Free 8-piece Gift,7/14/2018,5,39,8
clarins,Clarins,Free Mini Water Lip Stain + 6 sampels,7/6/2018,80,108,61
clarins,Clarins,French Beauty Rendez-vous,7/5/2018,7,22,6
clarins,Clarins,Dealmoon Exclusive! Free 6pc,7/1/2018,65,251,84
clarins,Clarins,FREE 7-Piece Gift,6/12/2018,7,26,7
clarins,Clarins,FREE 7-Piece Gift,6/6/2018,8,40,9
clarins,Clarins,UP To 30% Off + 3 Free Samples,5/29/2018,126,844,281
clarins,Clarins,15% Off,5/29/2018,6,70,17
clarins,Clarins,20% Off,5/28/2018,23,122,32
clarins,Clarins,Up to 30% Off,5/28/2018,25,252,73
clarins,Clarins,Up to 30% Off,5/28/2018,39,93,33
clarins,Clarins,$93.75$125.00,5/28/2018,19,60,25
clarins,Clarins,$15.05$21.50,5/22/2018,3,57,10
clarins,Clarins,$41.65$49.00,5/22/2018,1,12,5
clarins,Clarins,Up to 25% Off,5/22/2018,4,73,23
clarins,Clarins,15% Off,5/22/2018,6,35,6
clarins,Clarins,Up To 30% Off,5/22/2018,10,45,13
clarins,Clarins,15% Off,5/20/2018,3,39,8
clarins,Clarins,$20.30$29.00,5/19/2018,11,62,14
clarins,Clarins,$44.00$55.00,5/18/2018,8,31,18
clarins,Clarins,DEALMOON MOTHER’S DAY EXCLUSIVE,5/11/2018,59,174,59
clarins,Clarins,Skin-Loving Beauty 5-piece gift,4/30/2018,25,91,28
clarins,Clarins,Free $110 Value Gift,4/19/2018,25,81,22
clarins,Clarins,Free $141 Gift,4/13/2018,25,52,16
clarins,Clarins,Dealmoon Exclusive!Free Super Restorative Day Travel Size + 10 Samples,4/4/2018,27,128,38
clarins,Clarins,7-Piece Gift ($117 Value),4/3/2018,99,377,120
clarins,Clarins,Free Gift,3/18/2018,12,55,19
clarins,Clarins,Power Beauty Gift,3/5/2018,5,35,15
clarins,Clarins,$22.10 ,2/26/2018,22,117,43
clarins,Clarins,$28.05 ,2/26/2018,34,175,36
clarins,Clarins,Up to 25% Off,2/26/2018,29,399,116
clarins,Clarins,Up to 25% Off,2/26/2018,60,229,87
clarins,Clarins,Up to 25% Off,2/25/2018,30,388,90
clarins,Clarins,Up to 25% Off,2/25/2018,633,1712,865
clarins,Clarins,Up To 25% Off,2/22/2018,19,101,19
clarins,Clarins,Up to 25% Off,2/21/2018,16,175,27
clarins,Clarins,Up To 25% Off,2/20/2018,22,90,24
clarins,Clarins,Up to 25% Off,2/20/2018,8,94,17
clarins,Clarins,Up to 25% Off,2/20/2018,21,120,40
clarins,Clarins,Up to 25% Off,2/17/2018,1,72,23
clarins,Clarins,Up to 25% Off,2/14/2018,1,26,11
clarins,Clarins,$22.10 ,2/13/2018,4,82,9
clarins,Clarins,$36.55 ,2/13/2018,8,37,7
clarins,Clarins,Bouquet of Beauty,2/3/2018,25,84,26
clarins,Clarins,FREE 5-Piece Anti-Aging Gift,1/22/2018,31,111,30
clarins,Clarins,Daily Detox FREE Gift,1/9/2018,1,32,8
clarins,Clarins,5-Piece FREE Gift,1/5/2018,13,71,29
clarins,Clarins,Free Makeup Trio,12/29/2017,3,24,6
clarins,Clarins,Free 5-pc Gift,12/20/2017,6,68,18
clarins,Clarins,6-Piece FREE Gift,11/28/2017,8,24,9
clarins,Clarins,Up to 25% Off,11/28/2017,241,1015,501
clarins,Clarins,Up to 25% Off,11/28/2017,2,9,
clarins,Clarins,Up to 25% Off,11/28/2017,9,58,30
clarins,Clarins,Up to 25% Off,11/27/2017,1,67,23
clarins,Clarins,Up to 25% Off,11/27/2017,11,87,28
clarins,Clarins,Up to 25% Off,11/27/2017,16,195,76
clarins,Clarins,Up to 25% Off,11/27/2017,9,146,41
clarins,Clarins,Up to 25% Off,11/27/2017,23,141,80
clarins,Clarins,Get 11 Samples Value Up to $94,11/13/2017,27,50,21
clarins,Clarins,4-piece Halloween Treat,10/31/2017,17,82,33
clarins,Clarins,Up to 25% Off,10/16/2017,342,1161,584
clarins,Clarins,$36.55$43.00,10/16/2017,20,95,22
clarins,Clarins,Up to 25% Off,10/16/2017,36,407,141
clarins,Clarins,Up to 25% Off,10/16/2017,6,47,8
clarins,Clarins,Up to 25% Off,10/15/2017,6,43,10
clarins,Clarins,Up to 25% Off,10/15/2017,33,122,48
clarins,Clarins,Up to 25% Off,10/15/2017,24,72,31
clarins,Clarins,Up to 25% Off,10/15/2017,51,287,64
clarins,Clarins,Up to 25% Off,10/15/2017,12,115,46
clarins,Clarins,Up to 25% Off,10/15/2017,13,51,24
clarins,Clarins,Up to 25% Off,10/15/2017,44,548,140
clarins,Clarins,Up to 25% Off,10/15/2017,18,49,15
clarins,Clarins,$22.10 ,10/15/2017,18,87,12
clarins,Clarins,Up to 25% Off,10/15/2017,19,126,18
clarins,Clarins,Free 8-pc Gift Set,9/28/2017,1,19,3
clarins,Clarins,6-piece Best-sellers gift,9/27/2017,25,61,22
clarins,Clarins,Compose Your Free 6-piece gift,9/11/2017,1,25,3
clarins,Clarins,Up to 30% Off,9/10/2017,172,577,203
clarins,Clarins,$87.00$162.00,8/30/2017,9,50,16
clarins,Clarins,$121.50$162.00,8/29/2017,2,39,9
clarins,Clarins,$68.80$86.00,8/28/2017,1,9,2
clarins,Clarins,Compose Your Free 6-piece gift,8/25/2017,8,31,10
clarins,Clarins,Today Only! Free 9-piece gift,8/24/2017,2,8,6
clarins,Clarins,15% Off + Free 5-piece summer gift,8/23/2017,51,123,29
clarins,Clarins,Free 10pc GWP ($195 value),8/15/2017,49,106,30
clarins,Clarins,Free 5-piece summer gift,8/9/2017,11,21,6
clarins,Clarins,New Double Serum,7/29/2017,25,27,10
clarins,Clarins,One Day Only! $45 Value Gift,7/27/2017,3,22,5
clarins,Clarins,One Day Only! $45 Value Gift,7/15/2017,5,38,6
clarins,Clarins,15% Off,7/5/2017,18,44,20
clarins,Clarins,Customize 7-pc free gift (value up to $176),6/28/2017,16,57,19
clarins,Clarins,Free 10 Samples,6/16/2017,7,17,11
clarins,Clarins,Dealmoon Exclusive! Free 4-pc Gift,6/2/2017,15,94,41
clarins,Clarins,Dealmoon Exclusive! Free 4pc Gift,5/27/2017,10,38,16
clarins,Clarins,Dealmoon Exclusive! Free 4pc Gift,5/11/2017,29,147,53
clarins,Clarins,Free 4-Piece Free Body Kit + 3 Free Samples + Free Shipping,4/16/2017,8,73,14
clarins,Clarins,Up to 30% Off + 3 Free Samples,4/8/2017,36,187,57
clarins,Clarins,$102 ,3/22/2017,7,7,3
clarins,Clarins,10pc Gift,3/22/2017,23,59,44
clarins,Clarins,Free 5-Piece Gift + 3 Free Samples + Free Shipping,3/10/2017,14,34,9
clarins,Clarins,Up to 25% Off,2/25/2017,319,1067,570
clarins,Clarins,$37.40 ,2/25/2017,35,117,15
clarins,Clarins,$28.05 ,2/25/2017,24,120,10
clarins,Clarins,$22.10 ,2/24/2017,16,94,20
clarins,Clarins,$30.60 ,2/24/2017,4,51,7
clarins,Clarins,Up to 25% Off,2/24/2017,22,101,30
clarins,Clarins,$22.10 ,2/23/2017,1,11,6
clarins,Clarins,$22.10 ,2/23/2017,5,21,3
clarins,Clarins,$36.55$43.00,2/23/2017,4,55,8
clarins,Clarins,$68.85 ,2/23/2017,25,135,33
clarins,Clarins,Up to 25% Off,2/21/2017,6,56,24
clarins,Clarins,$59.50 ,2/18/2017,21,79,20
clarins,Clarins,$36.55 ,2/17/2017,32,116,10
clarins,Clarins,$50.15 ,2/17/2017,,10,3
clarins,Clarins,$52.70 ,2/16/2017,5,27,7
clarins,Clarins,$33.15 ,2/15/2017,2,9,4
clarins,Clarins,Up to 25% Off,2/15/2017,8,46,13
clarins,Clarins,$81.60 ,2/14/2017,,7,13
clarins,Clarins,$36.55 ,2/14/2017,3,11,13
clarins,Clarins,$75.65 ,2/14/2017,4,11,11
clarins,Clarins,Up to 25% Off,2/14/2017,15,104,41
clarins,Clarins,$22.10 ,2/13/2017,1,13,1
clarins,Clarins,$33.15 ,2/13/2017,3,45,5
clarins,Clarins,$68.85 ,2/13/2017,3,12,3
clarins,Clarins,$18.27 ,2/13/2017,1,17,4
clarins,Clarins,$33.20 ,2/12/2017,6,69,10
clarins,Clarins,Up to 25% Off,2/12/2017,4,21,8
clarins,Clarins,New Arrival！,2/7/2017,2,19,18
clarins,Clarins,Free Skincare Duo,2/6/2017,12,32,12
clarins,Clarins,$20 Off,1/28/2017,28,59,20
clarins,Clarins,Free 4-pc Gift Set,1/24/2017,7,28,25
clarins,Clarins,7 Free Samples,1/14/2017,10,21,10
clarins,Clarins,Free 5-pc Gift Set,1/11/2017,9,25,12
clarins,Clarins,Free 5-pc Gift Set,12/13/2016,11,60,18
clarins,Clarins,$35.20 ,11/29/2016,1,18,3
clarins,Clarins,20% Off + 13 pc GWP,11/29/2016,233,714,280
clarins,Clarins,$71.20 ,11/29/2016,,8,1
clarins,Clarins,20% Off + 10 pc GWP,11/29/2016,5,23,11
clarins,Clarins,$56 ,11/29/2016,8,109,26
clarins,Clarins,$48 + 10 pc GWP,11/29/2016,9,70,14
clarins,Clarins,20% Off + 10 pc GWP,11/29/2016,115,345,134
clarins,Clarins,20% Off + 13 Samples,11/28/2016,78,159,56
clarins,Clarins,20% Off + 10 pc GWP,11/27/2016,16,52,21
clarins,Clarins,$64.80 ,11/26/2016,1,28,9
clarins,Clarins,$20 ,11/26/2016,25,93,15
clarins,Clarins,$31.2 + 13 pc GWP,11/26/2016,12,44,18
clarins,Clarins,Get Up to 50% Off,11/23/2016,53,199,52
clarins,Clarins,$72.09 ,11/15/2016,20,38,15
