Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
giorgio-armani-beauty,Giorgio Armani Beauty,Free Gifts,2020-06-24,26,5,4
giorgio-armani-beauty,Giorgio Armani Beauty,Free Gifts,2020-06-22,3,2,2
giorgio-armani-beauty,Giorgio Armani Beauty,Up to 40% Off + GWP,2020-06-21,20,44,21
giorgio-armani-beauty,Giorgio Armani Beauty,Up to 40% Off + Free Gifts,2020-06-20,417,555,469
giorgio-armani-beauty,Giorgio Armani Beauty,Free Gift,2020-06-02,20,11,10
giorgio-armani-beauty,Giorgio Armani Beauty,Free Lip Maestro,2020-05-31,8,1,12
giorgio-armani-beauty,Giorgio Armani Beauty,Free Full Size Foundation,2020-05-29,46,45,41
giorgio-armani-beauty,Giorgio Armani Beauty,Free Full Size Lip Maestro,2020-05-27,24,17,37
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off,2020-05-22,74,22,20
giorgio-armani-beauty,Giorgio Armani Beauty,40% Off,2020-05-16,1923,1023,1189
giorgio-armani-beauty,Giorgio Armani Beauty,Up to 40% Off + GWP,2020-05-16,36,74,48
giorgio-armani-beauty,Giorgio Armani Beauty,Up to 40% Off,2020-05-16,16,33,18
giorgio-armani-beauty,Giorgio Armani Beauty,Up to 40% Off,2020-05-16,3,21,16
giorgio-armani-beauty,Giorgio Armani Beauty,$33,2020-05-11,36,31,11
giorgio-armani-beauty,Giorgio Armani Beauty,Free Gifts,2020-05-10,5,17,10
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off+ Free Gift,2020-05-09,257,149,93
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off + Free Lipsticks,2020-05-09,7,20,20
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off + Full Size Gift,2020-05-04,224,203,195
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off,2020-04-22,9,14,9
giorgio-armani-beauty,Giorgio Armani Beauty,40% Off + Free Gift,2020-04-16,1403,960,1065
giorgio-armani-beauty,Giorgio Armani Beauty,40% Off + Free Gift,2020-04-15,1,7,8
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off + Free Gifts,2020-03-29,378,585,427
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off + Free Lipsticks,2020-03-29,16,31,16
giorgio-armani-beauty,Giorgio Armani Beauty,$30.40$38.00,2020-03-27,1,7,5
giorgio-armani-beauty,Giorgio Armani Beauty,Free 2 Lipstick (Include 206),2020-03-04,3,4,6
giorgio-armani-beauty,Giorgio Armani Beauty,10% Off + Free Lipsticks,2020-03-02,27,76,37
giorgio-armani-beauty,Giorgio Armani Beauty,Top 20,2020-02-28,4,26,11
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off+Free Gifts,2020-02-11,74,203,121
giorgio-armani-beauty,Giorgio Armani Beauty,Free 3 Full Size Lipstick (Include 405),2019-12-21,91,158,171
giorgio-armani-beauty,Giorgio Armani Beauty,Free Full-size Gift,2019-12-15,7,17,15
giorgio-armani-beauty,Giorgio Armani Beauty,40% Off + Full Size Gifts,2019-12-11,615,1049,872
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders + 3-pc Gift,2019-12-04,348,1052,872
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders + 3-pc Gift,2019-12-03,78,408,238
giorgio-armani-beauty,Giorgio Armani Beauty,3 Free Full-size Lipsticks,2019-11-18,79,84,90
giorgio-armani-beauty,Giorgio Armani Beauty,3 Free Full Sized Lipsticks,2019-11-15,,11,29
giorgio-armani-beauty,Giorgio Armani Beauty,Top 20,2019-11-11,1,28,17
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders+Free 1 Full Size Lipsick,2019-11-11,220,218,198
giorgio-armani-beauty,Giorgio Armani Beauty,40% Off + Full Size Gift,2019-11-11,1014,1211,1246
giorgio-armani-beauty,Giorgio Armani Beauty,Free Gifts,2019-10-27,16,28,14
giorgio-armani-beauty,Giorgio Armani Beauty,15% off All Orders+Free Gifts,2019-10-05,28,131,53
giorgio-armani-beauty,Giorgio Armani Beauty,15% off All Orders+Free Gifts,2019-10-05,1,52,42
giorgio-armani-beauty,Giorgio Armani Beauty,15% off All Orders+Free Gifts,2019-10-05,111,327,215
giorgio-armani-beauty,Giorgio Armani Beauty,Early Access 40% Off Sale + Exclusive 3 Piece Gift Set,2019-09-20,259,782,701
giorgio-armani-beauty,Giorgio Armani Beauty,$38,2019-09-06,3,31,18
giorgio-armani-beauty,Giorgio Armani Beauty,$67,2019-09-06,30,33,15
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders+Free Gifts,2019-08-17,257,576,507
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off + GWP,2019-08-16,1,33,11
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders+Free Gifts,2019-08-16,13,40,15
giorgio-armani-beauty,Giorgio Armani Beauty,Top 20,2019-08-16,6,150,55
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders+Free Gifts,2019-08-16,4,41,33
giorgio-armani-beauty,Giorgio Armani Beauty,20% off All Orders+Free Gifts,2019-08-16,8,48,30
giorgio-armani-beauty,Giorgio Armani Beauty,20% Off + GWP,2019-08-14,1,5,6
giorgio-armani-beauty,Giorgio Armani Beauty,A Versatile Wardrobe Suited to an Array of Moods,2019-08-01,,10,4
giorgio-armani-beauty,Giorgio Armani Beauty,Recive Free Lip Products,2019-07-30,1,9,8
giorgio-armani-beauty,Giorgio Armani Beauty,Recive Free Lip Products,2019-07-29,2,11,7
giorgio-armani-beauty,Giorgio Armani Beauty,Recive Free Lip Products,2019-07-29,14,36,25
giorgio-armani-beauty,Giorgio Armani Beauty,40% Off,2019-06-21,592,909,870
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: 20% off all orders,2019-06-02,269,714,378
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off,2019-06-02,5,60,29
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off sitewide + GWP,2019-06-02,14,82,45
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off,2019-06-02,26,109,55
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off sitewide + GWP,2019-06-02,42,175,60
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: 20% off all orders,2019-03-28,680,960,662
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive,2019-03-27,15,9,8
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off,2019-03-27,4,24,7
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off sitewide,2019-03-27,8,20,8
