Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
la-mer,La Mer,Free Duo Gift,4/26/2020,8,2,4
la-mer,La Mer,$100 off $400 + $136 GWP,4/11/2020,,2,7
la-mer,La Mer,$100 off $400 + $136 GWP,4/11/2020,2505,1294,1685
la-mer,La Mer,$100 off $400 + $136 GWP,4/11/2020,,,2
la-mer,La Mer,$100 off $400 + $136 GWP,4/10/2020,4,5,6
la-mer,La Mer,Free Duo Gift,1/13/2020,4,8,16
la-mer,La Mer,10 red envelopes with any purchase,1/9/2020,13,,4
la-mer,La Mer,A deluxe mini trio,1/4/2020,26,42,45
la-mer,La Mer,A deluxe mini duo,12/19/2019,95,78,65
la-mer,La Mer,2-PC Gift,12/13/2019,2,2,12
la-mer,La Mer,Up to $100 Off + GWP,12/4/2019,11,25,29
la-mer,La Mer,Up to $100 Off + GWP,12/4/2019,1294,512,548
la-mer,La Mer,Up to $100 Off + GWP,12/4/2019,9,12,15
la-mer,La Mer,Up to 23% Off + GWP,12/1/2019,39,57,82
la-mer,La Mer,Up to 23% Off + GWP,12/1/2019,1170,1240,2048
la-mer,La Mer,Up to 23% Off + GWP,12/1/2019,15,35,92
la-mer,La Mer,Up to 23% Off + GWP,12/1/2019,9,16,91
la-mer,La Mer,Up to 23% Off,11/30/2019,4,18,43
la-mer,La Mer,Up to $200 Off,11/30/2019,7,50,32
la-mer,La Mer,Free Gift,11/27/2019,41,76,123
la-mer,La Mer,2 deluxe minis with any purchase,11/22/2019,16,43,94
la-mer,La Mer,2 deluxe minis with any purchase,11/20/2019,46,62,81
la-mer,La Mer,2 deluxe minis with any purchase,11/20/2019,18,19,39
la-mer,La Mer,Free Gift,11/18/2019,33,49,87
la-mer,La Mer,4 deluxe minis with any $150+ purchase.,11/12/2019,34,70,74
la-mer,La Mer,$100 Off $500 Purchase + Gifts,11/8/2019,5,22,22
la-mer,La Mer,$100 Off $500 Purchase + Gifts,11/7/2019,531,355,440
la-mer,La Mer,$100 Off $500 Purchase + Gifts,11/7/2019,2,7,15
la-mer,La Mer,Enjoy $75 Off Any $350 Purchase,11/6/2019,6,30,29
la-mer,La Mer,Enjoy $75 Off Any $350 Purchase,11/4/2019,36,69,64
la-mer,La Mer,Enjoy $75 Off Any $350 Purchase,11/4/2019,123,245,232
la-mer,La Mer,$75 Off $350 Purchase,9/25/2019,5,23,15
la-mer,La Mer,Enjoy $75 Off Any $350 Purchase + Gift,9/25/2019,27,56,65
la-mer,La Mer,$75 Off $350 Purchase + Gift,9/24/2019,10,28,46
la-mer,La Mer,$75 off + Gift (up to $243 value),9/23/2019,,2,7
la-mer,La Mer,$150+ Value Gift,8/20/2019,,5,4
la-mer,La Mer,$260 Value Gift,8/17/2019,21,25,26
la-mer,La Mer,Creme de la Mer 0.24oz,8/12/2019,2,3,7
la-mer,La Mer,3ml Eye Concentrate,8/4/2019,5,3,6
la-mer,La Mer,Free 3 piece Gift,8/2/2019,32,47,28
la-mer,La Mer,FreeGift with Purchase,7/27/2019,,7,7
la-mer,La Mer,Get $185+ Value Gift,7/27/2019,14,17,45
la-mer,La Mer,Free 2-piece Gift with Purchase,7/22/2019,4,3,5
la-mer,La Mer,Free 3-piece Gift with Purchase,7/19/2019,6,19,18
la-mer,La Mer,Free 3-piece Gift with Purchase,7/14/2019,9,21,19
la-mer,La Mer,0.24oz Creme de la Mer,7/4/2019,3,11,14
la-mer,La Mer,15ml Travel size Concentrate,7/2/2019,40,57,39
la-mer,La Mer,Gift with Purchase worth over $248,6/30/2019,42,46,50
la-mer,La Mer,on any order,6/24/2019,101,44,60
la-mer,La Mer,GWP(worth over $214),6/21/2019,5,4,7
la-mer,La Mer,$75 off $350,6/21/2019,322,234,233
la-mer,La Mer,$75 off $350,6/20/2019,6,3,1
la-mer,La Mer,$75 off,6/20/2019,5,5,3
la-mer,La Mer,$75 off,6/19/2019,10,13,16
la-mer,La Mer,$75 off $350,6/19/2019,13,16,10
la-mer,La Mer,GWP,6/17/2019,42,54,53
la-mer,La Mer,GWP(worth over $130),6/11/2019,12,14,22
la-mer,La Mer,GWP(worth over $144),6/6/2019,11,8,19
la-mer,La Mer,$75 off,6/4/2019,43,44,52
la-mer,La Mer,$75 off $350,6/3/2019,587,580,677
la-mer,La Mer,$75 off $350,6/2/2019,8,16,19
la-mer,La Mer,GWP,6/2/2019,43,47,57
la-mer,La Mer,$75 off $350,6/1/2019,1,6,7
la-mer,La Mer,GWP,5/27/2019,1,6,3
la-mer,La Mer,GWP,5/26/2019,29,24,25
la-mer,La Mer,Receive $160 gifts,5/23/2019,5,16,18
la-mer,La Mer,GWP(worth over $186),5/18/2019,95,48,44
la-mer,La Mer,GWP,5/13/2019,23,17,39
la-mer,La Mer,GWP,5/12/2019,9,6,9
la-mer,La Mer,GWP,5/4/2019,30,28,48
la-mer,La Mer,Free Gift(Value $58),4/26/2019,47,48,65
la-mer,La Mer,GWP(Value $156),4/21/2019,25,27,27
la-mer,La Mer,GWP,4/20/2019,28,14,13
la-mer,La Mer,Choose 3 deluxe minis,4/13/2019,82,78,70
la-mer,La Mer,Enjoy a complimentary deluxe duo,4/5/2019,28,54,38
la-mer,La Mer,select your favorite La Mer serum,3/28/2019,105,65,53
la-mer,La Mer,Enjoy The Concentrate 15ml,3/26/2019,12,8,8
