Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
loccitane,L'Occitane,$20 Off Or Free Gift,2020-06-22,6,23,5
loccitane,L'Occitane,$20 Off,2020-06-22,1,1,2
loccitane,L'Occitane,$20 off $70,2020-06-22,2,,2
loccitane,L'Occitane,$20 Off,2020-06-22,,4,2
loccitane,L'Occitane,Up To 50% Off,2020-06-14,86,311,101
loccitane,L'Occitane,Up To 50% Off,2020-06-12,9,128,41
loccitane,L'Occitane,Starting From $9,2020-06-12,12,14,8
loccitane,L'Occitane,$20 Off,2020-05-29,586,789,391
loccitane,L'Occitane,$20 off $70,2020-05-22,49,91,59
loccitane,L'Occitane,Win The Full Size Gift,2020-05-15,25,5,6
loccitane,L'Occitane,$20 off $70,2020-05-12,18,62,25
loccitane,L'Occitane,8-Piece Gift,2020-05-11,4,11,6
loccitane,L'Occitane,Free Gift,2020-05-05,15,64,27
loccitane,L'Occitane,As low as $29,2020-04-29,2,3,2
loccitane,L'Occitane,$20 Off Or Free Gift,2020-04-29,113,50,29
loccitane,L'Occitane,$20 Off,2020-04-16,9,12,12
loccitane,L'Occitane,Free 4-pc hand creams,2020-04-15,29,174,59
loccitane,L'Occitane,$20 Off,2020-04-13,34,109,38
loccitane,L'Occitane,$20 Off,2020-03-24,38,99,41
loccitane,L'Occitane,Win Free L'Occitane Order,2020-03-09,19,12,12
loccitane,L'Occitane,4-Piece Handcream,2020-03-03,6,16,13
loccitane,L'Occitane,Up to $30 GC,2020-02-28,1,8,2
loccitane,L'Occitane,Up to $20 Gift Card,2020-02-25,,3,8
loccitane,L'Occitane,Free Gifts,2020-02-23,7,16,4
loccitane,L'Occitane,$20 Off,2020-02-08,1,7,5
loccitane,L'Occitane,$20 off $70,2020-02-08,9,24,8
loccitane,L'Occitane,$20 off $70,2020-02-06,3,12,3
loccitane,L'Occitane,6-Piece Gift,2020-02-02,6,21,8
loccitane,L'Occitane,Free Gift,2020-01-24,3,,3
loccitane,L'Occitane,GWP,2020-01-21,6,27,15
loccitane,L'Occitane,Up to 50% Off,2020-01-15,726,1358,979
loccitane,L'Occitane,Cherry Blossom Kit,2020-01-15,1,5,2
loccitane,L'Occitane,Up to 50% Off,2020-01-13,9,32,18
loccitane,L'Occitane,Up to 50% Off,2020-01-09,35,71,63
loccitane,L'Occitane,Up to 12-Piece gift,2019-12-26,20,88,79
loccitane,L'Occitane,7-Piece Pampering Essentials,2019-12-20,1,10,12
loccitane,L'Occitane,10-Piece Pampering Essentials,2019-12-19,2,11,9
loccitane,L'Occitane,Buy 3 Get 1 Free,2019-12-18,1,,7
loccitane,L'Occitane,$10 off $40,2019-12-13,,15,19
loccitane,L'Occitane,$10 off $40,2019-12-13,3,12,19
loccitane,L'Occitane,$10 Off $40,2019-12-13,14,38,37
loccitane,L'Occitane,Get Up to 5-piece Free Gift,2019-12-09,6,33,33
loccitane,L'Occitane,Up to $30 Card,2019-12-05,11,33,49
loccitane,L'Occitane,Up to $30 Gift Card,2019-12-05,,11,32
loccitane,L'Occitane,20% Off,2019-12-04,53,142,69
loccitane,L'Occitane,20% Off,2019-12-04,,9,3
loccitane,L'Occitane,20% Off,2019-12-03,3,2,
loccitane,L'Occitane,$353Valued + 20-Piece Gift,2019-12-01,23,40,145
loccitane,L'Occitane,50% Off + 20-Piece Gift,2019-11-30,136,609,358
loccitane,L'Occitane,Free Gift with Purchase,2019-11-08,4,24,67
loccitane,L'Occitane,Free Cherry Blossom Gift,2019-11-08,3,17,70
loccitane,L'Occitane,20% Off,2019-11-05,1,7,15
loccitane,L'Occitane,20% Off,2019-11-05,42,181,77
loccitane,L'Occitane,Worth over $500 Gift,2019-11-01,134,114,175
loccitane,L'Occitane,Get $10 Off $40 Purchase,2019-10-28,35,95,35
loccitane,L'Occitane,Get 10-piece Pampering Essentials gift,2019-10-26,16,37,13
loccitane,L'Occitane,$20 Off + 9-Piece Gift,2019-10-22,192,346,176
loccitane,L'Occitane,$64 (Value$105),2019-10-21,33,120,135
loccitane,L'Occitane,FREE Hand Cream,2019-10-12,11,23,70
loccitane,L'Occitane,$10 Off + Free Gifts,2019-09-17,1165,706,568
loccitane,L'Occitane,$20 Off,2019-09-03,62,250,122
loccitane,L'Occitane,$20 Off,2019-08-30,,2,5
loccitane,L'Occitane,20% Off,2019-07-22,203,293,225
loccitane,L'Occitane,20% Off,2019-07-14,,6,
loccitane,L'Occitane,Up to 34% Off,2019-07-08,17,56,23
loccitane,L'Occitane,Up to 50% Off,2019-07-06,273,554,246
loccitane,L'Occitane,FREE Deluxe 9-Piece,2019-05-20,3,4,1
loccitane,L'Occitane,Up to 30% Off,2019-05-06,6,51,39
loccitane,L'Occitane,GWP,2019-05-03,6,18,13
loccitane,L'Occitane,Win Free Order + a Free Beauty Gift,2019-04-27,13,14,20
loccitane,L'Occitane,20% off,2019-04-09,9,57,30
loccitane,L'Occitane,20% off,2019-04-09,6,40,16
loccitane,L'Occitane,20% OFF,2019-04-09,125,490,234
loccitane,L'Occitane,20% off,2019-04-07,7,15,8
loccitane,L'Occitane,FREE Almond Body Smoothing Gift,2019-03-31,1256,1206,604
loccitane,L'Occitane,Earn Up to $30 VIP Beauty Card,2019-03-04,8,42,14
loccitane,L'Occitane,Earn Up to $30 VIP Beauty Card,2019-03-01,6,35,17
loccitane,L'Occitane,FREE full-sized cleanser at checkout,2019-02-19,,2,
loccitane,L'Occitane,FREE Rifle Paper Co. Illustrated Beauty Gift + 20% OFF,2019-02-15,307,373,116
loccitane,L'Occitane,Free L'OCCITANE Shea Soaps Trio,2019-02-12,9,38,8
loccitane,L'Occitane,FREE Valentine's Day Prep Set,2019-02-07,2,14,4
loccitane,L'Occitane,Today Only! Enter to be 1 of 10 People,2019-02-06,1,2,1
loccitane,L'Occitane,New! Lunar New Year Hand Cream,2019-02-04,2,2,1
loccitane,L'Occitane,To win L'Occitane order for Free,2019-01-30,3,9,2
loccitane,L'Occitane,Get Free Most Loved Duo,2019-01-20,,18,7
loccitane,L'Occitane,FREE Rifle Paper Co. Illustrated Beauty Gift + 20% OFF Your Next Purchase,2019-01-15,5,25,6
loccitane,L'Occitane,Up to 50% off+Free Gift,2019-01-14,28,67,18
loccitane,L'Occitane,Gift Set ($20 value) for $10,2018-12-31,20,58,12
loccitane,L'Occitane,Up to 50% Off + Buy 3 Get 1 Free,2018-12-28,,42,12
loccitane,L'Occitane,$59.00$105.00,2018-12-18,18,28,6
