Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
lush-cosmetics,LUSH Cosmetics,Buy 1 Get 1 Free Or 50% off,2016-12-26,27,178,65
lush-cosmetics,LUSH Cosmetics,$7.95,2016-08-03,1,51,3
lush-cosmetics,LUSH Cosmetics,Buy 1 Get 1 Free,2016-01-11,,414,95
lush-cosmetics,LUSH Cosmetics,Buy 1 Get 1 Free,2014-12-26,,55,
lush-cosmetics,LUSH Cosmetics,Christmas Gift,2014-12-15,,66,
lush-cosmetics,LUSH Cosmetics,Spring Eggcellent Easter Items,2014-03-26,,6,
lush-cosmetics,LUSH Cosmetics,BOGO Free,2014-01-08,,2,
lush-cosmetics,LUSH Cosmetics,BOGO Free,2013-12-27,,4,
lush-cosmetics,LUSH Cosmetics,Buy 1 Get 1 Free,2012-12-26,,,
lush-cosmetics,LUSH Cosmetics,Free $10 LUSH E-gift,2012-11-08,,,
