Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
Lancome,Lancome Selected Skincare Sale,"Lancome offers free full size gift with selected skincare sale via coupon code ""OURGIFT"". Enjoy a full size 1.0 oz. Advanced Génifique",06/05/2020,,3049,1014,935
Lancome,Lancome Selected Beauty Products Sale,Lancome offers selected beauty products sale up to 40% off.Free shipping.,06/02/2020,,267,294,203
Lancome,Lancome Lipstick Sale,Lancome offers 25% off Lancome Lipstick Sale. Free shipping ,05/31/2020,,22,44,24
Lancome,Last Day: Lancome Friends and Family Sale,Lancome offers 25% off with Friends and Family Sale Free shipping.,05/31/2020,,1172,724,523
Lancome,Lancome Absolue Skincare Sale,Lancome offers 25% off  with Absolue Skincare Sale. Free shipping.,05/31/2020,,177,162,80
Lancome,Lancome Selected Genifique Products Sale,Lancome offers 25%  Selected Genifique Products Sale  Free shipping.,05/30/2020,,75,50,26
Lancome,Lancome Visionnaire Nuit Beauty Sleep Perfector Face Moisturizer,"Lancome offers free eye cream Visionnaire Nuit Beauty Sleep Perfector Face Moisturizer via coupon code """" Free shipping.",05/18/2020,,56,39,38
Lancome,Lancome Beauty Products Sale,"Lancome offers free gifts Beauty Products Sale via coupon code ""OURGIFT"". Buy two Tonique Confort toners and receive one Free or Buy two",05/14/2020,,1072,281,268
Lancome,Lancome ADVANCED GÉNIFIQUE DUO Sale,Lancome offers 20% off ADVANCED GÉNIFIQUE DUO Sale.  Free shipping.,05/04/2020,,61,23,21
Lancome,Lancome ABSOLUE REVITALIZING & BRIGHTENING SOFT CREAM Sale,Lancome offers 20% off ABSOLUE REVITALIZING & BRIGHTENING SOFT CREAM Sale  Free shipping.,05/04/2020,,50,60,34
Lancome,Lancome L'ABSOLU ROUGE DRAMA MATTE LIPSTICK Sale,Lancome offers 20% off L'ABSOLU ROUGE DRAMA MATTE LIPSTICK Sale. Free shipping.,05/04/2020,,29,45,26
Lancome,Lancôme Beauty and Skincare on Sale,Lancome offers beauty and skincare on sale  20% off.Free shipping.,05/02/2020,,2328,1084,738
Lancome,Lancome UV EXPERT SUNSCREEN Sale,Lancome offers 20% off UV EXPERT SUNSCREEN Sale. Free shipping.,04/30/2020,,14,16,11
Lancome,New Arrivals: Lancome L'Absolu Mademoiselle Lip Balm Sale,Lancome offers the L'Absolu Mademoiselle Lip Balm Sale for $20.8. Free shipping.,04/29/2020,,13,7,8
Lancome,Lancome ADVANCED GÉNIFIQUE DUO Sale,Lancome offers 20% off ADVANCED GÉNIFIQUE DUO Sale.  Free shipping.,04/22/2020,,5,5,3
Lancome,Extended: Lancome Advanced Genifique serum Sale,"Lancome offers Buy1, Get 1 50% off Advanced Genifique serum Sale  Plus, Enjoy a 6ml Genifique eye cream + 50ml BiFacil(total $42",04/21/2020,,141,160,193
Lancome,Lancôme Genefique Pearl Offer,"Lancome offers beauty and skincare  6-piece gift with $45+ purchase, and 3 additional gifts with $80+ purchase(up to $245",04/17/2020,,113,132,119
Lancome,Lancome ADVANCED GÉNIFIQUE YOUTH ACTIVATING SERUM Sale,Lancome offers ADVANCED GÉNIFIQUE YOUTH ACTIVATING SERUM sale maximum gift vlue of $293.Free shipping.,04/13/2020,,19,27,36
Lancome,Lancome ADVANCED GÉNIFIQUE DUO Sale,"Lancome offers the $172($210 value) ADVANCED GÉNIFIQUE DUO Sale. Plus, 6-piece gift with $45+ purchase, and with",04/10/2020,,,3,9
Lancome,Lancome L'Absolu Rouge Drama Matte Lipstick 196 Sale,"Lancome offers L'Absolu Rouge Drama Matte Lipstick 196 Sale. Plus,  6-piece gift with $45+ purchase, and with $80+",04/10/2020,,,,3
Lancome,Lancome Beauty Products Sale,Lancome offers up to 40% off Selected Beauty Products Sale. Free shipping.,04/06/2020,,202,299,181
