,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
0,2010-12-30,0.0,0.0,0.0,2010,12,30,3,1,20.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.47965226883004425,4.980966734693725e-07,9.464322195262531e-14,0.9909707162514318,0.06217652402211632,3.513136727828072e-23,0.9448875602748896,0.00171281936882384,0.004320239474094066,2.793776256466959e-32,0.9909707162514318
1,2010-12-31,0.0,0.0,0.0,2010,12,31,4,0,0.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,0.5192712990540764,3.4574960100244164e-07,5.605339617595758e-14,0.9977349953069204,0.05293050193270875,6.95213617456976e-23,0.9216104472977248,0.002173276647747907,0.003451541830562535,1.237799517733768e-32,0.9977349953069204
2,2011-01-01,0.0,0.0,0.0,2011,1,1,5,0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,,,,,,,,,,,,0.5596191218461927,2.3891319952628224e-07,3.3047967556318703e-14,1.0,0.04485553036633267,1.3695310990003124e-22,0.8948393168143698,0.002745041231162644,0.002745041231162644,5.4593307522331215e-33,1.0
3,2011-01-02,0.0,0.0,0.0,2011,1,2,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,,,,,,,,,0.6003730411984044,1.6434216793821234e-07,1.939625972470827e-14,0.9977349953069204,0.03784045853143394,2.685690341941217e-22,0.8649144172389205,0.003451541830562535,0.002173276647747907,2.396949668898052e-33,0.9977349953069204
4,2011-01-03,0.0,0.0,0.0,2011,1,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,,,,,,0.6411803884299546,1.1253517471925912e-07,1.1332393247975474e-14,0.9909707162514318,0.03177804641749838,5.242885663363464e-22,0.8322075006903012,0.004320239474094066,0.00171281936882384,2.396949668898052e-33,0.9909707162514318
5,2011-01-04,0.0,0.0,0.0,2011,1,4,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.6816629478612286,7.671105893720845e-08,6.5910664926522654e-15,0.9797986738537043,0.026566137145725102,1.0188617225283034e-21,0.7971141629458125,0.005383105741918052,0.0013438120398556223,5.4593307522331215e-33,0.9797986738537043
6,2011-01-05,0.0,0.0,0.0,2011,1,5,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.7214222903547561,5.205447572187675e-08,3.816103628946825e-15,0.9643690948860915,0.022108538597039658,1.971017666651087e-21,0.760045927023468,0.006677108163747914,0.0010495325222677763,1.237799517733768e-32,0.9643690948860915
7,2011-01-06,0.0,0.0,0.0,2011,1,6,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.760045927023468,3.516321581057925e-08,2.1994547780410763e-15,0.9448875602748896,0.01831563888873418,3.795737739100092e-21,0.7214222903547561,0.008244689844825922,0.0008159878350721483,2.793776256466959e-32,0.9448875602748896
8,2011-01-07,0.0,0.0,0.0,2011,1,7,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.7971141629458125,2.3645554668615604e-08,1.2619447026583566e-15,0.9216104472977248,0.015104783999608878,7.276663454088607e-21,0.6816629478612286,0.010134227381485734,0.0006315414766389987,6.277162123269114e-32,0.9216104472977248
9,2011-01-08,0.0,0.0,0.0,2011,1,8,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.8322075006903012,1.5828539209911236e-08,7.207688734079356e-16,0.8948393168143698,0.012400448027957603,1.3886691616029176e-20,0.6411803884299546,0.012400448027957603,0.0004865757746296883,1.4039947359662446e-31,0.8948393168143698
10,2011-01-09,0.0,0.0,0.0,2011,1,9,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.8649144172389205,1.0547816779454457e-08,4.0980960411175916e-16,0.8649144172389205,0.010134227381485734,2.6381270294181677e-20,0.6003730411984044,0.015104783999608878,0.00037318957021707967,3.1260651434701166e-31,0.8649144172389205
11,2011-01-10,0.0,0.0,0.0,2011,1,10,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.8948393168143698,6.997045994265065e-09,2.3195228302435696e-16,0.8322075006903012,0.008244689844825922,4.9891093927950183e-20,0.5596191218461927,0.01831563888873418,0.00028493048887656886,6.928847118330195e-31,0.8948393168143698
12,2011-01-11,0.0,0.0,0.0,2011,1,11,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.9216104472977248,4.62058847615921e-09,1.3069097000558088e-16,0.7971141629458125,0.006677108163747914,9.392490402701178e-20,0.5192712990540764,0.022108538597039658,0.00021656025755544176,1.5288129205360447e-30,0.9216104472977248
13,2011-01-12,0.0,0.0,0.0,2011,1,12,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.9448875602748896,3.0374578711408626e-09,7.330319795513614e-17,0.760045927023468,0.005383105741918052,1.760227914426155e-19,0.47965226883004425,0.026566137145725102,0.00016385096587198604,3.3579801181420154e-30,0.9448875602748896
14,2011-01-13,0.0,0.0,0.0,2011,1,13,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.9643690948860915,1.987712853292263e-09,4.09289565372295e-17,0.7214222903547561,0.004320239474094066,3.2838813589367143e-19,0.441051290941554,0.03177804641749838,0.00012340980408667956,7.342303069252906e-30,0.9643690948860915
15,2011-01-14,0.0,0.0,0.0,2011,1,14,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,,1.3333333333333333,,0.9797986738537043,1.2948737877910746e-09,2.2749341707408446e-17,0.6816629478612286,0.003451541830562535,6.098688103116819e-19,0.40372170860859763,0.03784045853143394,9.252960973638543e-05,1.5981476628267853e-29,0.9797986738537043
16,2011-01-15,0.0,0.0,0.0,2011,1,15,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.9909707162514318,8.397144824858431e-10,1.2587439785341146e-17,0.6411803884299546,0.002745041231162644,1.1274980485847069e-18,0.36787944117144233,0.04485553036633267,6.906248619019833e-05,3.4628359020592734e-29,0.9909707162514318
17,2011-01-16,0.0,0.0,0.0,2011,1,16,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.9977349953069204,5.420835868877036e-10,6.933242467194433e-18,0.6003730411984044,0.002173276647747907,2.0750357571818113e-18,0.33370241075447066,0.05293050193270875,5.131379054322775e-05,7.469255741829046e-29,0.9977349953069204
