,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,Bobbi Brown Cosmetics,2 free deluxe samples + free shipping with any purchase,2011-06-21,0.0,0.0,0.0,2011,6,21,Tuesday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
1,Bobbi Brown Cosmetics,Free samples,2011-09-12,0.0,0.0,0.0,2011,9,12,Monday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
2,Bobbi Brown Cosmetics,Bobbi Brown Deal,2011-10-26,0.0,0.0,0.0,2011,10,26,Wednesday,False,Normal,Normal,Normal,Columbus Day,0.0,False
3,Bobbi Brown Cosmetics,Bobbi Brown Deal,2011-11-03,0.0,0.0,0.0,2011,11,3,Thursday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,False
4,Bobbi Brown Cosmetics,Bobbi Brown Deal,2011-11-15,0.0,0.0,0.0,2011,11,15,Tuesday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,False
5,Bobbi Brown Cosmetics,Free Samples & Free Gift,2011-12-07,0.0,0.0,0.0,2011,12,7,Wednesday,False,Normal,Normal,Thanksgiving,Thanksgiving,0.0,True
6,Bobbi Brown Cosmetics,Free Samples with Purchase,2012-01-05,0.0,0.0,0.0,2012,1,5,Thursday,False,Normal,New Year's Day (Observed),New Year's Day (Observed),New Year's Day (Observed),0.0,True
7,Bobbi Brown Cosmetics,Bobbi Brown Offer:,2012-01-11,0.0,0.0,0.0,2012,1,11,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
8,Bobbi Brown Cosmetics,Free Deluxe Samples,2012-01-18,0.0,0.0,0.0,2012,1,18,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,True
9,Bobbi Brown Cosmetics,Free Deluxe Samples,2012-01-25,0.0,0.0,0.0,2012,1,25,Wednesday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,True
10,Bobbi Brown Cosmetics,Free Deluxe Samples,2012-01-31,0.0,0.0,0.0,2012,1,31,Tuesday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,True
