,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,2011-05-26,Clarins,Free 6-pc Gift ($156 value),0.0,0.0,0.0,2011,5,26,Thursday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,True
1,2011-05-27,0.0,0.0,0.0,0.0,0.0,2011,5,27,Friday,True,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
2,2011-05-28,0.0,0.0,0.0,0.0,0.0,2011,5,28,Saturday,True,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
3,2011-05-29,0.0,0.0,0.0,0.0,0.0,2011,5,29,Sunday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
4,2011-05-30,0.0,0.0,0.0,0.0,0.0,2011,5,30,Monday,False,Memorial Day,Memorial Day,Memorial Day,Memorial Day,0.0,False
5,2011-05-31,0.0,0.0,0.0,0.0,0.0,2011,5,31,Tuesday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
6,2011-06-01,0.0,0.0,0.0,0.0,0.0,2011,6,1,Wednesday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
7,2011-06-02,0.0,0.0,0.0,0.0,0.0,2011,6,2,Thursday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
8,2011-06-03,Clarins,Free shipping any order,0.0,0.0,0.0,2011,6,3,Friday,True,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
9,2011-06-04,0.0,0.0,0.0,0.0,0.0,2011,6,4,Saturday,True,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
10,2011-06-05,0.0,0.0,0.0,0.0,0.0,2011,6,5,Sunday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
11,2011-06-06,0.0,0.0,0.0,0.0,0.0,2011,6,6,Monday,False,Normal,Normal,Memorial Day,Memorial Day,0.0,False
12,2011-06-07,0.0,0.0,0.0,0.0,0.0,2011,6,7,Tuesday,False,Normal,Normal,Memorial Day,Memorial Day,0.0,False
13,2011-06-08,0.0,0.0,0.0,0.0,0.0,2011,6,8,Wednesday,False,Normal,Normal,Memorial Day,Memorial Day,0.0,False
14,2011-06-09,0.0,0.0,0.0,0.0,0.0,2011,6,9,Thursday,False,Normal,Normal,Memorial Day,Memorial Day,0.0,False
15,2011-06-10,0.0,0.0,0.0,0.0,0.0,2011,6,10,Friday,True,Normal,Normal,Fathers's day,Fathers's day,0.0,False
16,2011-06-11,0.0,0.0,0.0,0.0,0.0,2011,6,11,Saturday,True,Normal,Normal,Fathers's day,Fathers's day,0.0,False
17,2011-06-12,0.0,0.0,0.0,0.0,0.0,2011,6,12,Sunday,False,Normal,Normal,Fathers's day,Fathers's day,0.0,False
18,2011-06-13,0.0,0.0,0.0,0.0,0.0,2011,6,13,Monday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
19,2011-06-14,0.0,0.0,0.0,0.0,0.0,2011,6,14,Tuesday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
20,2011-06-15,0.0,0.0,0.0,0.0,0.0,2011,6,15,Wednesday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
21,2011-06-16,0.0,0.0,0.0,0.0,0.0,2011,6,16,Thursday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
22,2011-06-17,0.0,0.0,0.0,0.0,0.0,2011,6,17,Friday,True,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
23,2011-06-18,0.0,0.0,0.0,0.0,0.0,2011,6,18,Saturday,True,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
