,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,Clinique,Free,2011-05-16,0.0,0.0,0.0,2011,5,16,Monday,False,Normal,Mother's day,Mother's day,Mother's day,0.0,False
1,Clinique,Free shipping,2011-06-12,0.0,0.0,0.0,2011,6,12,Sunday,False,Normal,Normal,Fathers's day,Fathers's day,0.0,False
2,Clinique,Promotion,2011-06-15,0.0,0.0,0.0,2011,6,15,Wednesday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
3,Clinique,2 FREE minis: Clinique Happy and SPF 30 Face with Keychain,2011-08-10,0.0,0.0,0.0,2011,8,10,Wednesday,False,Normal,Normal,Normal,Labor Day,0.0,False
4,Clinique,Free tote bag,2011-08-27,0.0,0.0,0.0,2011,8,27,Saturday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
5,Clinique,Clinique Coupon,2011-10-11,0.0,0.0,0.0,2011,10,11,Tuesday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
6,Clinique,Clinique Deal,2011-10-25,0.0,0.0,0.0,2011,10,25,Tuesday,False,Normal,Normal,Normal,Columbus Day,0.0,False
7,Clinique,Clinique Deal,2011-11-04,0.0,0.0,0.0,2011,11,4,Friday,True,Normal,Normal,Veterans Day,Veterans Day,0.0,False
8,Clinique,FREE shipping,2011-11-12,0.0,0.0,0.0,2011,11,12,Saturday,True,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,False
9,Clinique,FREE Deluxe Samples,2011-11-17,0.0,0.0,0.0,2011,11,17,Thursday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,True
10,Clinique,Clinique Deal,2011-11-20,0.0,0.0,0.0,2011,11,20,Sunday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
11,Clinique,Free shipping no minimum + 3 free samples,2011-11-27,0.0,0.0,0.0,2011,11,27,Sunday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
12,Clinique,Free Sample Trio,2011-12-09,0.0,0.0,0.0,2011,12,9,Friday,True,Normal,Normal,Normal,Thanksgiving,0.0,True
13,Clinique,4 Free Skin Care/Make Up Minis,2011-12-14,0.0,0.0,0.0,2011,12,14,Wednesday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
14,Clinique,Free Shipping,2011-12-20,0.0,0.0,0.0,2011,12,20,Tuesday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
