,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,2012-12-08,Estee Lauder,$85.00$130.00,0.0,0.0,0.0,2012,12,8,Saturday,True,Normal,Normal,Normal,Thanksgiving,0.0,False
1,2012-12-09,0.0,0.0,0.0,0.0,0.0,2012,12,9,Sunday,False,Normal,Normal,Normal,Christmas Day,0.0,False
2,2012-12-10,0.0,0.0,0.0,0.0,0.0,2012,12,10,Monday,False,Normal,Normal,Normal,Christmas Day,0.0,False
3,2012-12-11,0.0,0.0,0.0,0.0,0.0,2012,12,11,Tuesday,False,Normal,Normal,Normal,Christmas Day,0.0,False
4,2012-12-12,0.0,0.0,0.0,0.0,0.0,2012,12,12,Wednesday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
5,2012-12-13,0.0,0.0,0.0,0.0,0.0,2012,12,13,Thursday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
6,2012-12-14,0.0,0.0,0.0,0.0,0.0,2012,12,14,Friday,True,Normal,Normal,Christmas Day,Christmas Day,0.0,False
7,2012-12-15,0.0,0.0,0.0,0.0,0.0,2012,12,15,Saturday,True,Normal,Normal,Christmas Day,Christmas Day,0.0,False
8,2012-12-16,0.0,0.0,0.0,0.0,0.0,2012,12,16,Sunday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
9,2012-12-17,0.0,0.0,0.0,0.0,0.0,2012,12,17,Monday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
10,2012-12-18,0.0,0.0,0.0,0.0,0.0,2012,12,18,Tuesday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
11,2012-12-19,0.0,0.0,0.0,0.0,0.0,2012,12,19,Wednesday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
12,2012-12-20,0.0,0.0,0.0,0.0,0.0,2012,12,20,Thursday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
13,2012-12-21,0.0,0.0,0.0,0.0,0.0,2012,12,21,Friday,True,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
14,2012-12-22,0.0,0.0,0.0,0.0,0.0,2012,12,22,Saturday,True,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
15,2012-12-23,0.0,0.0,0.0,0.0,0.0,2012,12,23,Sunday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
16,2012-12-24,0.0,0.0,0.0,0.0,0.0,2012,12,24,Monday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
17,2012-12-25,0.0,0.0,0.0,0.0,0.0,2012,12,25,Tuesday,False,Christmas Day,Christmas Day,Christmas Day,Christmas Day,0.0,False
18,2012-12-26,0.0,0.0,0.0,0.0,0.0,2012,12,26,Wednesday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
19,2012-12-27,0.0,0.0,0.0,0.0,0.0,2012,12,27,Thursday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
20,2012-12-28,0.0,0.0,0.0,0.0,0.0,2012,12,28,Friday,True,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
21,2012-12-29,0.0,0.0,0.0,0.0,0.0,2012,12,29,Saturday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
22,2012-12-30,0.0,0.0,0.0,0.0,0.0,2012,12,30,Sunday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
23,2012-12-31,0.0,0.0,0.0,0.0,0.0,2012,12,31,Monday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
24,2013-01-01,0.0,0.0,0.0,0.0,0.0,2013,1,1,Tuesday,False,New Year's Day,New Year's Day,New Year's Day,New Year's Day,0.0,False
25,2013-01-02,0.0,0.0,0.0,0.0,0.0,2013,1,2,Wednesday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
26,2013-01-03,0.0,0.0,0.0,0.0,0.0,2013,1,3,Thursday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
27,2013-01-04,0.0,0.0,0.0,0.0,0.0,2013,1,4,Friday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
28,2013-01-05,0.0,0.0,0.0,0.0,0.0,2013,1,5,Saturday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
29,2013-01-06,0.0,0.0,0.0,0.0,0.0,2013,1,6,Sunday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
30,2013-01-07,0.0,0.0,0.0,0.0,0.0,2013,1,7,Monday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
31,2013-01-08,0.0,0.0,0.0,0.0,0.0,2013,1,8,Tuesday,False,Normal,Normal,New Year's Day,New Year's Day,0.0,False
32,2013-01-09,0.0,0.0,0.0,0.0,0.0,2013,1,9,Wednesday,False,Normal,Normal,New Year's Day,New Year's Day,0.0,False
33,2013-01-10,Estee Lauder,"Price From $57,",0.0,0.0,0.0,2013,1,10,Thursday,False,Normal,Normal,New Year's Day,New Year's Day,0.0,False
34,2013-01-11,0.0,0.0,0.0,0.0,0.0,2013,1,11,Friday,True,Normal,Normal,New Year's Day,New Year's Day,0.0,False
35,2013-01-12,0.0,0.0,0.0,0.0,0.0,2013,1,12,Saturday,True,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
36,2013-01-13,0.0,0.0,0.0,0.0,0.0,2013,1,13,Sunday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
37,2013-01-14,0.0,0.0,0.0,0.0,0.0,2013,1,14,Monday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
38,2013-01-15,0.0,0.0,0.0,0.0,0.0,2013,1,15,Tuesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
39,2013-01-16,0.0,0.0,0.0,0.0,0.0,2013,1,16,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
40,2013-01-17,0.0,0.0,0.0,0.0,0.0,2013,1,17,Thursday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
41,2013-01-18,0.0,0.0,0.0,0.0,0.0,2013,1,18,Friday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
42,2013-01-19,0.0,0.0,0.0,0.0,0.0,2013,1,19,Saturday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
43,2013-01-20,0.0,0.0,0.0,0.0,0.0,2013,1,20,Sunday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
44,2013-01-21,0.0,0.0,0.0,0.0,0.0,2013,1,21,Monday,False,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
45,2013-01-22,0.0,0.0,0.0,0.0,0.0,2013,1,22,Tuesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
46,2013-01-23,0.0,0.0,0.0,0.0,0.0,2013,1,23,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
47,2013-01-24,0.0,0.0,0.0,0.0,0.0,2013,1,24,Thursday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
48,2013-01-25,0.0,0.0,0.0,0.0,0.0,2013,1,25,Friday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
49,2013-01-26,0.0,0.0,0.0,0.0,0.0,2013,1,26,Saturday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
50,2013-01-27,0.0,0.0,0.0,0.0,0.0,2013,1,27,Sunday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
51,2013-01-28,0.0,0.0,0.0,0.0,0.0,2013,1,28,Monday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
