,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,2017-12-31,Kiehl's,Enjoy $20 off,594.0,1853.0,821.0,2017,12,31,Sunday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
1,2018-01-01,Kiehl's,['Enjoy $20 off + 3 minis' 'Enjoy $20 off'],4735.0,11409.0,7177.0,2018,1,1,Monday,False,New Year's Day,New Year's Day,New Year's Day,New Year's Day,0.0,False
2,2018-01-02,Kiehl's,Get $20 off,189.0,487.0,226.0,2018,1,2,Tuesday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
3,2018-01-03,0.0,0.0,0.0,0.0,0.0,2018,1,3,Wednesday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
4,2018-01-04,0.0,0.0,0.0,0.0,0.0,2018,1,4,Thursday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
5,2018-01-05,0.0,0.0,0.0,0.0,0.0,2018,1,5,Friday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
6,2018-01-06,Kiehl's,Choose 4 Deluxe Samples,28.0,82.0,30.0,2018,1,6,Saturday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,True
7,2018-01-07,0.0,0.0,0.0,0.0,0.0,2018,1,7,Sunday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
8,2018-01-08,0.0,0.0,0.0,0.0,0.0,2018,1,8,Monday,False,Normal,Normal,New Year's Day,New Year's Day,0.0,False
9,2018-01-09,0.0,0.0,0.0,0.0,0.0,2018,1,9,Tuesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
10,2018-01-10,0.0,0.0,0.0,0.0,0.0,2018,1,10,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
11,2018-01-11,0.0,0.0,0.0,0.0,0.0,2018,1,11,Thursday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
12,2018-01-12,0.0,0.0,0.0,0.0,0.0,2018,1,12,Friday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
13,2018-01-13,Kiehl's,Enjoy 10 packette samples of Powerful-Strength Line-Reducing Concentrate,26.0,133.0,64.0,2018,1,13,Saturday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
14,2018-01-14,0.0,0.0,0.0,0.0,0.0,2018,1,14,Sunday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
15,2018-01-15,0.0,0.0,0.0,0.0,0.0,2018,1,15,Monday,False,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
16,2018-01-16,0.0,0.0,0.0,0.0,0.0,2018,1,16,Tuesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
17,2018-01-17,Kiehl's,Free Ground Shipping,28.0,107.0,36.0,2018,1,17,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
18,2018-01-18,0.0,0.0,0.0,0.0,0.0,2018,1,18,Thursday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
19,2018-01-19,0.0,0.0,0.0,0.0,0.0,2018,1,19,Friday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
20,2018-01-20,0.0,0.0,0.0,0.0,0.0,2018,1,20,Saturday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
21,2018-01-21,0.0,0.0,0.0,0.0,0.0,2018,1,21,Sunday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
22,2018-01-22,Kiehl's,FREE 5-piece sample bundle,7.0,44.0,18.0,2018,1,22,Monday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
23,2018-01-23,0.0,0.0,0.0,0.0,0.0,2018,1,23,Tuesday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
24,2018-01-24,0.0,0.0,0.0,0.0,0.0,2018,1,24,Wednesday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
25,2018-01-25,0.0,0.0,0.0,0.0,0.0,2018,1,25,Thursday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
26,2018-01-26,0.0,0.0,0.0,0.0,0.0,2018,1,26,Friday,True,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
27,2018-01-27,0.0,0.0,0.0,0.0,0.0,2018,1,27,Saturday,True,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
28,2018-01-28,0.0,0.0,0.0,0.0,0.0,2018,1,28,Sunday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
29,2018-01-29,0.0,0.0,0.0,0.0,0.0,2018,1,29,Monday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,False
30,2018-01-30,0.0,0.0,0.0,0.0,0.0,2018,1,30,Tuesday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,False
31,2018-01-31,Kiehl's,2 Free Deluxe Samples,29.0,104.0,25.0,2018,1,31,Wednesday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,True
32,2018-02-01,0.0,0.0,0.0,0.0,0.0,2018,2,1,Thursday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,False
33,2018-02-02,0.0,0.0,0.0,0.0,0.0,2018,2,2,Friday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
34,2018-02-03,0.0,0.0,0.0,0.0,0.0,2018,2,3,Saturday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
35,2018-02-04,0.0,0.0,0.0,0.0,0.0,2018,2,4,Sunday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
36,2018-02-05,0.0,0.0,0.0,0.0,0.0,2018,2,5,Monday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
37,2018-02-06,0.0,0.0,0.0,0.0,0.0,2018,2,6,Tuesday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
38,2018-02-07,Kiehl's,Enjoy a Limited Edition Tote,17.0,123.0,37.0,2018,2,7,Wednesday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
39,2018-02-08,0.0,0.0,0.0,0.0,0.0,2018,2,8,Thursday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
40,2018-02-09,Kiehl's,Complimentary gift boxing,5.0,21.0,6.0,2018,2,9,Friday,True,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
41,2018-02-10,Kiehl's,Enjoy 4 deluxe samples & limited edition canvas pouch,8.0,57.0,13.0,2018,2,10,Saturday,True,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
42,2018-02-11,0.0,0.0,0.0,0.0,0.0,2018,2,11,Sunday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
43,2018-02-12,Kiehl's,"['Enjoy 4 deluxe samples &limited edition canvas pouch'
 'Enjoy 4 deluxe samples & limited edition canvas pouch']",19.0,108.0,30.0,2018,2,12,Monday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
44,2018-02-13,Kiehl's,"['Enjoy 4 deluxe samples & limited edition canvas pouch'
 'Enjoy 4 deluxe samples &limited edition canvas pouch']",46.0,274.0,74.0,2018,2,13,Tuesday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
45,2018-02-14,Kiehl's,"['Enjoy 4 deluxe samples & limited edition canvas pouch'
 'Enjoy 4 deluxe samples &limited edition canvas pouch']",48.0,223.0,73.0,2018,2,14,Wednesday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
46,2018-02-15,0.0,0.0,0.0,0.0,0.0,2018,2,15,Thursday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
