,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,2014-02-26,La Mer,Free 3 Deluxe samples,0.0,20.0,0.0,2014,2,26,Wednesday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
1,2014-02-27,0.0,0.0,0.0,0.0,0.0,2014,2,27,Thursday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
2,2014-02-28,0.0,0.0,0.0,0.0,0.0,2014,2,28,Friday,True,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
3,2014-03-01,0.0,0.0,0.0,0.0,0.0,2014,3,1,Saturday,True,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
4,2014-03-02,0.0,0.0,0.0,0.0,0.0,2014,3,2,Sunday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
5,2014-03-03,0.0,0.0,0.0,0.0,0.0,2014,3,3,Monday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
6,2014-03-04,0.0,0.0,0.0,0.0,0.0,2014,3,4,Tuesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
7,2014-03-05,0.0,0.0,0.0,0.0,0.0,2014,3,5,Wednesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
8,2014-03-06,0.0,0.0,0.0,0.0,0.0,2014,3,6,Thursday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
9,2014-03-07,La Mer,Free Crème de La Mer Deluxe Sample,0.0,9.0,0.0,2014,3,7,Friday,True,Normal,Normal,Normal,Washington's Birthday,0.0,True
10,2014-03-08,0.0,0.0,0.0,0.0,0.0,2014,3,8,Saturday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
11,2014-03-09,0.0,0.0,0.0,0.0,0.0,2014,3,9,Sunday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
12,2014-03-10,0.0,0.0,0.0,0.0,0.0,2014,3,10,Monday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
13,2014-03-11,0.0,0.0,0.0,0.0,0.0,2014,3,11,Tuesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
14,2014-03-12,La Mer,Free 2 Deluxe samples,0.0,13.0,0.0,2014,3,12,Wednesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
15,2014-03-13,La Mer,Free 2 Deluxe samples,0.0,2.0,0.0,2014,3,13,Thursday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
16,2014-03-14,0.0,0.0,0.0,0.0,0.0,2014,3,14,Friday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
17,2014-03-15,0.0,0.0,0.0,0.0,0.0,2014,3,15,Saturday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
18,2014-03-16,La Mer,Free 2 Deluxe samples,0.0,3.0,0.0,2014,3,16,Sunday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
19,2014-03-17,0.0,0.0,0.0,0.0,0.0,2014,3,17,Monday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
20,2014-03-18,0.0,0.0,0.0,0.0,0.0,2014,3,18,Tuesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
21,2014-03-19,0.0,0.0,0.0,0.0,0.0,2014,3,19,Wednesday,False,Normal,Normal,Normal,Normal,0.0,False
22,2014-03-20,0.0,0.0,0.0,0.0,0.0,2014,3,20,Thursday,False,Normal,Normal,Normal,Normal,0.0,False
23,2014-03-21,0.0,0.0,0.0,0.0,0.0,2014,3,21,Friday,True,Normal,Normal,Normal,Normal,0.0,False
