,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,2010-12-30,Lancome,20% off + free shipping,0.0,0.0,0.0,2010,12,30,Thursday,False,Normal,New Year's Day (Observed),New Year's Day (Observed),New Year's Day (Observed),0.2,False
1,2010-12-31,0.0,0.0,0.0,0.0,0.0,2010,12,31,Friday,True,New Year's Day (Observed),New Year's Day (Observed),New Year's Day (Observed),New Year's Day (Observed),0.0,False
2,2011-01-01,0.0,0.0,0.0,0.0,0.0,2011,1,1,Saturday,True,New Year's Day,New Year's Day,New Year's Day,New Year's Day,0.0,False
3,2011-01-02,0.0,0.0,0.0,0.0,0.0,2011,1,2,Sunday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
4,2011-01-03,0.0,0.0,0.0,0.0,0.0,2011,1,3,Monday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
5,2011-01-04,0.0,0.0,0.0,0.0,0.0,2011,1,4,Tuesday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
6,2011-01-05,0.0,0.0,0.0,0.0,0.0,2011,1,5,Wednesday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
7,2011-01-06,0.0,0.0,0.0,0.0,0.0,2011,1,6,Thursday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
8,2011-01-07,0.0,0.0,0.0,0.0,0.0,2011,1,7,Friday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
9,2011-01-08,0.0,0.0,0.0,0.0,0.0,2011,1,8,Saturday,True,Normal,Normal,New Year's Day,New Year's Day,0.0,False
10,2011-01-09,0.0,0.0,0.0,0.0,0.0,2011,1,9,Sunday,False,Normal,Normal,New Year's Day,New Year's Day,0.0,False
11,2011-01-10,0.0,0.0,0.0,0.0,0.0,2011,1,10,Monday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
12,2011-01-11,0.0,0.0,0.0,0.0,0.0,2011,1,11,Tuesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
13,2011-01-12,0.0,0.0,0.0,0.0,0.0,2011,1,12,Wednesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
14,2011-01-13,0.0,0.0,0.0,0.0,0.0,2011,1,13,Thursday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
