,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,Lancome,20% off + free shipping,2010-12-29,0.0,0.0,0.0,2010,12,29,Wednesday,False,Normal,New Year's Day (Observed),New Year's Day (Observed),New Year's Day (Observed),0.2,False
1,Lancome,Free,2011-02-01,0.0,0.0,0.0,2011,2,1,Tuesday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,False
2,Lancome,3 Free Samples,2011-04-20,0.0,0.0,0.0,2011,4,20,Wednesday,False,Normal,Normal,Normal,Normal,0.0,True
3,Lancome,Promotion,2011-05-09,0.0,0.0,0.0,2011,5,9,Monday,False,Normal,Normal,Normal,Memorial Day,0.0,False
4,Lancome,Extra 20% Off,2011-06-14,0.0,0.0,0.0,2011,6,14,Tuesday,False,Normal,Normal,Normal,Memorial Day,0.2,False
5,Lancome,Free gifts + free shipping,2011-07-03,0.0,0.0,0.0,2011,7,3,Sunday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
6,Lancome,Free 5-piece deluxe sample collection plus FREE shipping,2011-07-07,0.0,0.0,0.0,2011,7,7,Thursday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
7,Lancome,Free 4-8 Samples ($105 value),2011-07-19,0.0,0.0,0.0,2011,7,19,Tuesday,False,Normal,Normal,Normal,Independence Day,0.0,True
8,Lancome,Free shipping & Samples,2011-07-25,0.0,0.0,0.0,2011,7,25,Monday,False,Normal,Normal,Normal,Independence Day,0.0,True
9,Lancome,4 Piece Sample (a $88 value) and Free Shipping,2011-08-02,0.0,0.0,0.0,2011,8,2,Tuesday,False,Normal,Normal,Normal,Independence Day,0.0,True
10,Lancome,Free 5-Piece Deluxe Sample Collection,2011-08-09,0.0,0.0,0.0,2011,8,9,Tuesday,False,Normal,Normal,Normal,Labor Day,0.0,True
11,Lancome,Today Only,2011-08-13,0.0,0.0,0.0,2011,8,13,Saturday,True,Normal,Normal,Normal,Labor Day,0.0,False
12,Lancome,Free shipping + samples,2011-08-15,0.0,0.0,0.0,2011,8,15,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
13,Lancome,5 FREE deluxe samples,2011-09-02,0.0,0.0,0.0,2011,9,2,Friday,True,Normal,Labor Day,Labor Day,Labor Day,0.0,False
14,Lancome,Lancome Special Offers,2011-09-04,0.0,0.0,0.0,2011,9,4,Sunday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
