,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
0,2010-08-08,L'Occitane,15% off,0.0,0.0,0.0,2010,8,8,Sunday,False,Normal,Normal,Normal,Labor Day,0.15,False
1,2010-08-09,0.0,0.0,0.0,0.0,0.0,2010,8,9,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
2,2010-08-10,0.0,0.0,0.0,0.0,0.0,2010,8,10,Tuesday,False,Normal,Normal,Normal,Labor Day,0.0,False
3,2010-08-11,0.0,0.0,0.0,0.0,0.0,2010,8,11,Wednesday,False,Normal,Normal,Normal,Labor Day,0.0,False
4,2010-08-12,0.0,0.0,0.0,0.0,0.0,2010,8,12,Thursday,False,Normal,Normal,Normal,Labor Day,0.0,False
5,2010-08-13,0.0,0.0,0.0,0.0,0.0,2010,8,13,Friday,True,Normal,Normal,Normal,Labor Day,0.0,False
6,2010-08-14,0.0,0.0,0.0,0.0,0.0,2010,8,14,Saturday,True,Normal,Normal,Normal,Labor Day,0.0,False
7,2010-08-15,0.0,0.0,0.0,0.0,0.0,2010,8,15,Sunday,False,Normal,Normal,Normal,Labor Day,0.0,False
8,2010-08-16,0.0,0.0,0.0,0.0,0.0,2010,8,16,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
9,2010-08-17,0.0,0.0,0.0,0.0,0.0,2010,8,17,Tuesday,False,Normal,Normal,Normal,Labor Day,0.0,False
10,2010-08-18,0.0,0.0,0.0,0.0,0.0,2010,8,18,Wednesday,False,Normal,Normal,Normal,Labor Day,0.0,False
11,2010-08-19,0.0,0.0,0.0,0.0,0.0,2010,8,19,Thursday,False,Normal,Normal,Normal,Labor Day,0.0,False
12,2010-08-20,0.0,0.0,0.0,0.0,0.0,2010,8,20,Friday,True,Normal,Normal,Normal,Labor Day,0.0,False
13,2010-08-21,0.0,0.0,0.0,0.0,0.0,2010,8,21,Saturday,True,Normal,Normal,Normal,Labor Day,0.0,False
14,2010-08-22,0.0,0.0,0.0,0.0,0.0,2010,8,22,Sunday,False,Normal,Normal,Normal,Labor Day,0.0,False
15,2010-08-23,0.0,0.0,0.0,0.0,0.0,2010,8,23,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
16,2010-08-24,0.0,0.0,0.0,0.0,0.0,2010,8,24,Tuesday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
17,2010-08-25,0.0,0.0,0.0,0.0,0.0,2010,8,25,Wednesday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
18,2010-08-26,0.0,0.0,0.0,0.0,0.0,2010,8,26,Thursday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
19,2010-08-27,0.0,0.0,0.0,0.0,0.0,2010,8,27,Friday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
20,2010-08-28,0.0,0.0,0.0,0.0,0.0,2010,8,28,Saturday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
21,2010-08-29,0.0,0.0,0.0,0.0,0.0,2010,8,29,Sunday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
22,2010-08-30,0.0,0.0,0.0,0.0,0.0,2010,8,30,Monday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
23,2010-08-31,0.0,0.0,0.0,0.0,0.0,2010,8,31,Tuesday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
24,2010-09-01,0.0,0.0,0.0,0.0,0.0,2010,9,1,Wednesday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
25,2010-09-02,0.0,0.0,0.0,0.0,0.0,2010,9,2,Thursday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
26,2010-09-03,0.0,0.0,0.0,0.0,0.0,2010,9,3,Friday,True,Normal,Labor Day,Labor Day,Labor Day,0.0,False
27,2010-09-04,0.0,0.0,0.0,0.0,0.0,2010,9,4,Saturday,True,Normal,Labor Day,Labor Day,Labor Day,0.0,False
28,2010-09-05,0.0,0.0,0.0,0.0,0.0,2010,9,5,Sunday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
29,2010-09-06,0.0,0.0,0.0,0.0,0.0,2010,9,6,Monday,False,Labor Day,Labor Day,Labor Day,Labor Day,0.0,False
30,2010-09-07,0.0,0.0,0.0,0.0,0.0,2010,9,7,Tuesday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
31,2010-09-08,0.0,0.0,0.0,0.0,0.0,2010,9,8,Wednesday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
32,2010-09-09,0.0,0.0,0.0,0.0,0.0,2010,9,9,Thursday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
33,2010-09-10,0.0,0.0,0.0,0.0,0.0,2010,9,10,Friday,True,Normal,Labor Day,Labor Day,Labor Day,0.0,False
34,2010-09-11,0.0,0.0,0.0,0.0,0.0,2010,9,11,Saturday,True,Normal,Labor Day,Labor Day,Labor Day,0.0,False
35,2010-09-12,0.0,0.0,0.0,0.0,0.0,2010,9,12,Sunday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,False
36,2010-09-13,0.0,0.0,0.0,0.0,0.0,2010,9,13,Monday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
37,2010-09-14,0.0,0.0,0.0,0.0,0.0,2010,9,14,Tuesday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
38,2010-09-15,0.0,0.0,0.0,0.0,0.0,2010,9,15,Wednesday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
39,2010-09-16,0.0,0.0,0.0,0.0,0.0,2010,9,16,Thursday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
40,2010-09-17,0.0,0.0,0.0,0.0,0.0,2010,9,17,Friday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
41,2010-09-18,0.0,0.0,0.0,0.0,0.0,2010,9,18,Saturday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
42,2010-09-19,0.0,0.0,0.0,0.0,0.0,2010,9,19,Sunday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
43,2010-09-20,0.0,0.0,0.0,0.0,0.0,2010,9,20,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
44,2010-09-21,0.0,0.0,0.0,0.0,0.0,2010,9,21,Tuesday,False,Normal,Normal,Normal,Labor Day,0.0,False
45,2010-09-22,0.0,0.0,0.0,0.0,0.0,2010,9,22,Wednesday,False,Normal,Normal,Normal,Labor Day,0.0,False
46,2010-09-23,0.0,0.0,0.0,0.0,0.0,2010,9,23,Thursday,False,Normal,Normal,Normal,Labor Day,0.0,False
